semilla,version,contagio,hospital,coste,pct_bajo,retorno
3022,V2,0.2869,0.4340,6.3529,93.6073,5.9796
3022,V3,0.3465,0.5198,5.0626,58.0639,294.7305
3022,V4,0.3042,0.4585,6.1593,89.2785,13.6338
3023,V1,0.3432,0.5147,4.9393,63.0868,293.8380
3023,V2,0.3130,0.4711,5.9532,90.3744,57.6133
3023,V3,0.3465,0.5203,5.0195,57.9635,294.9864
3023,V4,0.2788,0.4243,6.4318,95.7534,-5.1533
3024,V1,0.3407,0.5100,5.0644,55.5890,288.2123
3024,V2,0.3305,0.4952,5.6611,66.7215,81.2616
3024,V3,0.3385,0.5095,5.1541,56.6849,286.0091
3024,V4,0.2705,0.4098,6.6988,97.0320,-14.7568
3025,V1,0.3421,0.5095,5.0626,55.5251,296.1884
3025,V2,0.3278,0.4934,5.7269,74.8676,61.3754
3025,V3,0.3413,0.5119,5.1466,56.1187,289.0265
3025,V4,0.2777,0.4210,6.4000,95.2968,-7.9216
3026,V1,0.3460,0.5192,5.0341,57.3699,295.6890
3026,V2,0.2961,0.4454,6.1753,95.5708,24.1911
3026,V3,0.3466,0.5206,5.0750,57.0137,296.0119
3026,V4,0.2709,0.4084,6.5597,96.8858,-3.2244
3027,V1,0.3431,0.5131,5.0536,56.5571,291.9299
3027,V2,0.3285,0.4905,5.6249,76.2831,83.4003
3027,V3,0.3423,0.5129,5.0932,56.9041,292.2917
3027,V4,0.3167,0.4800,6.0275,82.9680,13.5604
3028,V1,0.3485,0.5198,4.9975,56.8950,302.2581
3028,V2,0.3480,0.5196,5.4696,55.5434,64.8858
3028,V3,0.3467,0.5219,5.0468,57.9817,296.0671
3028,V4,0.3252,0.4893,5.9755,79.3242,17.5776
3029,V1,0.3445,0.5154,5.0259,57.3881,298.6885
3029,V2,0.3303,0.4960,5.7326,71.1324,61.1865
3029,V3,0.3433,0.5135,5.0865,58.1644,290.9406
3029,V4,0.3271,0.4928,5.8577,79.3516,61.7019
