date,country,E1_contagio,E2_tend_contagio,E3_presion_hosp,E4_tend_hosp,E5_restriccion,E6_tend_socioec,E7_preocupacion,A1_work,A2_school,A3_ptrans,A4_conf
2020-05-06,GB,0.09091,0.0,0.0453943008614976,0.0,79.63,0.0,0.9102054340622928,3.0,3.0,1.0,2.0
2020-05-07,GB,0.0909099999999997,-3.05311331771918e-16,0.043390514631685,-0.0020037862298126,79.63,0.0,0.9125462495795492,3.0,3.0,1.0,2.0
2020-05-08,GB,0.04545,-0.0454599999999997,0.0429700928154003,-0.0004204218162847,79.63,0.0,0.9064970780336884,3.0,3.0,1.0,2.0
2020-05-09,GB,0.08046,0.03501,0.0401755570560431,-0.0027945357593571,79.63,0.0,0.9166103983794732,3.0,3.0,1.0,2.0
2020-05-10,GB,0.0,-0.08046,0.0406670567583381,0.0004914997022949,79.63,0.0,0.917203042715038,3.0,3.0,1.0,2.0
2020-05-11,GB,0.09877,0.09877,0.0388257575757575,-0.0018412991825806,77.78,-1.8499999999999943,0.9179292929292928,3.0,3.0,1.0,2.0
2020-05-12,GB,0.03571,-0.06306,0.0367063492063491,-0.0021194083694083,77.78,0.0,0.9186507936507936,3.0,3.0,1.0,2.0
2020-05-13,GB,0.0357099999999998,-2.012279232133096e-16,0.0459496255956431,0.009243276389294,71.3,-6.480000000000004,0.9152484683458136,3.0,3.0,1.0,1.0
2020-05-14,GB,0.08511,0.0494000000000002,0.044334975369458,-0.0016146502261851,71.3,0.0,0.910782703886152,3.0,3.0,1.0,1.0
2020-05-15,GB,0.05537,-0.02974,0.048268339241887,0.0039333638724289,71.3,0.0,0.9048268339241888,3.0,3.0,1.0,1.0
2020-05-16,GB,0.0553699999999998,-2.012279232133096e-16,0.0494708994708994,0.0012025602290123,71.3,0.0,0.9108465608465608,3.0,3.0,1.0,1.0
2020-05-17,GB,0.01,-0.0453699999999998,0.0494447382337387,-2.616123716069757e-05,71.3,0.0,0.9037546271813856,3.0,3.0,1.0,1.0
2020-05-18,GB,0.1875,0.1775,0.0381056069678823,-0.0113391312658564,71.3,0.0,0.9153511159499184,3.0,3.0,1.0,1.0
2020-05-19,GB,0.1875,0.0,0.0532544378698223,0.01514883090194,71.3,0.0,0.9055944055944056,3.0,3.0,1.0,1.0
2020-05-20,GB,0.05,-0.1375,0.0491208484510186,-0.0041335894188037,71.3,0.0,0.9106893664526932,3.0,3.0,1.0,1.0
