date,country,E1_contagio,E2_tend_contagio,E3_presion_hosp,E4_tend_hosp,E5_restriccion,E6_tend_socioec,E7_preocupacion,A1_work,A2_school,A3_ptrans,A4_conf
2020-11-28,BR,0.58333,0.53186,0.0793531402783001,-0.0102496514696214,57.87,0.0,0.688040616773223,2.0,3.0,1.0,2.0
2020-11-29,BR,0.1157,-0.46763,0.0815715622076707,0.0022184219293706,57.87,0.0,0.6930776426566885,2.0,3.0,1.0,2.0
2020-11-30,BR,0.31084,0.19514,0.0804714661239718,-0.0011000960836989,60.65,2.780000000000001,0.7022810141609429,2.0,3.0,1.0,2.0
2020-12-01,BR,0.57143,0.26059,0.0916242480333178,0.011152781909346,60.65,0.0,0.6616535554527225,2.0,3.0,1.0,2.0
2020-12-02,BR,0.2,-0.37143,0.0901555222230992,-0.0014687258102185,60.65,0.0,0.6551669692902818,2.0,3.0,1.0,2.0
2020-12-03,BR,0.26667,0.06667,0.0913242009132419,0.0011686786901426,63.43,2.780000000000001,0.6508423870256652,2.0,3.0,1.0,2.0
2020-12-04,BR,0.17692,-0.08975,0.0869741100323624,-0.0043500908808795,63.43,0.0,0.6571197411003237,2.0,3.0,1.0,2.0
2020-12-05,BR,0.10884,-0.0680799999999999,0.0913991471558451,0.0044250371234827,63.43,0.0,0.6527476064043769,2.0,3.0,1.0,2.0
2020-12-06,BR,0.21667,0.10783,0.079950077086851,-0.011449070068994,63.43,0.0,0.6721973423390353,2.0,3.0,1.0,2.0
2020-12-07,BR,0.38947,0.1727999999999999,0.0852754237288135,0.0053253466419624,63.43,0.0,0.6769824455205811,2.0,3.0,1.0,2.0
2020-12-08,BR,0.32195,-0.0675199999999999,0.0878089085855929,0.0025334848567794,63.43,0.0,0.6651393374896718,2.0,3.0,1.0,2.0
2020-12-13,BR,0.3219499999999977,-2.3314683517128287e-15,0.0816736143276207,-0.0061352942579721,64.35,0.9199999999999946,0.6777057279604756,3.0,3.0,0.0,2.0
2020-12-14,BR,0.27429,-0.0476599999999977,0.0824997367589764,0.0008261224313556,64.35,0.0,0.6785300621248815,3.0,3.0,0.0,2.0
2020-12-15,BR,0.10714,-0.1671499999999999,0.0863529540361807,0.0038532172772043,67.13,2.780000000000001,0.6784172268677925,3.0,3.0,1.0,2.0
2020-12-16,BR,0.11918,0.0120399999999999,0.0858336010279472,-0.0005193530082335,64.35,-2.780000000000001,0.6745904272406039,3.0,3.0,0.0,2.0
2020-12-17,BR,0.21581,0.09663,0.084556786703601,-0.0012768143243461,61.57,-2.779999999999994,0.6664819944598338,3.0,3.0,0.0,2.0
2020-12-18,BR,0.24,0.0241899999999999,0.0789082254945708,-0.0056485612090302,61.57,0.0,0.6630224602112152,3.0,3.0,0.0,2.0
2020-12-19,BR,0.2399999999999994,-5.828670879282072e-16,0.0796315090951673,0.0007232836005964,64.35,2.779999999999994,0.6619564368803186,3.0,3.0,0.0,2.0
2020-12-20,BR,0.06,-0.1799999999999994,0.0714137286139778,-0.0082177804811894,64.35,0.0,0.6813049802590566,3.0,3.0,0.0,2.0
2020-12-21,BR,0.060000000000002,2.005340338229189e-15,0.0764124196113684,0.0049986909973906,64.35,0.0,0.6597745660742688,3.0,3.0,0.0,2.0
2020-12-22,BR,0.08152,0.0215199999999979,0.076626056853738,0.0002136372423695,64.35,0.0,0.6590772917914919,3.0,3.0,0.0,2.0
2020-12-23,BR,0.26577,0.18425,0.0769718756608161,0.0003458188070781,64.35,0.0,0.6597589342355678,3.0,3.0,0.0,2.0
2020-12-24,BR,0.11659,-0.14918,0.0806959258611645,0.0037240502003483,64.35,0.0,0.664014687882497,3.0,3.0,0.0,2.0
2020-12-25,BR,0.25333,0.13674,0.0781414994720167,-0.0025544263891477,64.35,0.0,0.6786091416503244,3.0,3.0,0.0,2.0
2020-12-26,BR,0.26848,0.0151499999999999,0.0752161749745675,-0.0029253244974492,64.35,0.0,0.6934766022380467,3.0,3.0,0.0,2.0
2020-12-27,BR,0.07541,-0.19307,0.0711639122507792,-0.0040522627237883,64.35,0.0,0.7058754337469858,3.0,3.0,0.0,2.0
2020-12-28,BR,0.22388,0.14847,0.0791199618411638,0.0079560495903845,64.35,0.0,0.701407107083234,3.0,3.0,0.0,2.0
2020-12-29,BR,0.02632,-0.1975599999999999,0.0777247069040381,-0.0013952549371256,64.35,0.0,0.7011971962037095,3.0,3.0,0.0,2.0
2020-12-30,BR,0.15238,0.1260599999999999,0.0792105793112706,0.0014858724072324,64.35,0.0,0.6978586292542123,3.0,3.0,0.0,2.0
2020-12-31,BR,0.1523800000000026,2.609024107869118e-15,0.0810147299509001,0.0018041506396295,64.35,0.0,0.6984451718494271,3.0,3.0,0.0,2.0
2021-01-01,BR,0.1523799999999997,-2.886579864025407e-15,0.0791497388276262,-0.0018649911232739,64.35,0.0,0.6564132327336042,3.0,3.0,0.0,2.0
2021-01-02,BR,0.0,-0.1523799999999997,0.0786201852754753,-0.0005295535521508,64.35,0.0,0.7146513895660653,3.0,3.0,0.0,2.0
2021-01-03,BR,0.19,0.19,0.0818780417978814,0.003257856522406,64.35,0.0,0.7219582021185228,3.0,3.0,0.0,2.0
2021-01-04,BR,0.28571,0.09571,0.0838153503893213,0.0019373085914399,64.35,0.0,0.7147385984427141,3.0,3.0,0.0,2.0
2021-01-05,BR,0.16338,-0.12233,0.085342694366116,0.0015273439767946,64.35,0.0,0.6962076307763135,3.0,3.0,0.0,2.0
2021-01-06,BR,0.2,0.03662,0.0860091743119264,0.0006664799458104,64.35,0.0,0.6846933848382424,3.0,3.0,0.0,2.0
2021-01-07,BR,0.0,-0.2,0.0881430942282868,0.0021339199163603,61.57,-2.779999999999994,0.6699858626836315,3.0,3.0,0.0,2.0
2021-01-08,BR,0.21412,0.21412,0.0853047940918763,-0.0028383001364104,61.57,0.0,0.6694204531230442,3.0,3.0,0.0,2.0
