estado,"a0=(0, 0, 0, 0)","a1=(0, 0, 0, 1)","a2=(0, 0, 0, 2)","a3=(0, 0, 1, 0)","a4=(0, 0, 1, 1)","a5=(0, 0, 1, 2)","a6=(0, 0, 2, 0)","a7=(0, 0, 2, 1)","a8=(0, 0, 2, 2)","a9=(0, 1, 0, 0)","a10=(0, 1, 0, 1)","a11=(0, 1, 0, 2)","a12=(0, 1, 1, 0)","a13=(0, 1, 1, 1)","a14=(0, 1, 1, 2)","a15=(0, 1, 2, 0)","a16=(0, 1, 2, 1)","a17=(0, 1, 2, 2)","a18=(0, 2, 0, 0)","a19=(0, 2, 0, 1)","a20=(0, 2, 0, 2)","a21=(0, 2, 1, 0)","a22=(0, 2, 1, 1)","a23=(0, 2, 1, 2)","a24=(0, 2, 2, 0)","a25=(0, 2, 2, 1)","a26=(0, 2, 2, 2)","a27=(1, 0, 0, 0)","a28=(1, 0, 0, 1)","a29=(1, 0, 0, 2)","a30=(1, 0, 1, 0)","a31=(1, 0, 1, 1)","a32=(1, 0, 1, 2)","a33=(1, 0, 2, 0)","a34=(1, 0, 2, 1)","a35=(1, 0, 2, 2)","a36=(1, 1, 0, 0)","a37=(1, 1, 0, 1)","a38=(1, 1, 0, 2)","a39=(1, 1, 1, 0)","a40=(1, 1, 1, 1)","a41=(1, 1, 1, 2)","a42=(1, 1, 2, 0)","a43=(1, 1, 2, 1)","a44=(1, 1, 2, 2)","a45=(1, 2, 0, 0)","a46=(1, 2, 0, 1)","a47=(1, 2, 0, 2)","a48=(1, 2, 1, 0)","a49=(1, 2, 1, 1)","a50=(1, 2, 1, 2)","a51=(1, 2, 2, 0)","a52=(1, 2, 2, 1)","a53=(1, 2, 2, 2)","a54=(2, 0, 0, 0)","a55=(2, 0, 0, 1)","a56=(2, 0, 0, 2)","a57=(2, 0, 1, 0)","a58=(2, 0, 1, 1)","a59=(2, 0, 1, 2)","a60=(2, 0, 2, 0)","a61=(2, 0, 2, 1)","a62=(2, 0, 2, 2)","a63=(2, 1, 0, 0)","a64=(2, 1, 0, 1)","a65=(2, 1, 0, 2)","a66=(2, 1, 1, 0)","a67=(2, 1, 1, 1)","a68=(2, 1, 1, 2)","a69=(2, 1, 2, 0)","a70=(2, 1, 2, 1)","a71=(2, 1, 2, 2)","a72=(2, 2, 0, 0)","a73=(2, 2, 0, 1)","a74=(2, 2, 0, 2)","a75=(2, 2, 1, 0)","a76=(2, 2, 1, 1)","a77=(2, 2, 1, 2)","a78=(2, 2, 2, 0)","a79=(2, 2, 2, 1)","a80=(2, 2, 2, 2)"
c=B dc=+ h=M dh=- L=M dL=0 preo=B,9.8965,0.0000,9.5597,9.5658,6.7083,0.0000,0.0000,5.0642,5.8633,7.4088,6.5406,0.0000,6.7583,0.0000,0.0000,0.0000,0.0000,0.0000,14.5229,9.4769,6.0258,6.6960,6.1338,7.4688,0.0000,0.0000,0.0000,5.8363,0.0000,0.0000,0.0000,9.4174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1476,0.0000,-0.3825,0.0000,0.0000,7.6931,10.6501,8.8322,10.0372,5.7078,7.1869,5.7157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.7103,0.0000,6.4948,5.1919,10.3331,6.8940,0.0000,6.4608,5.5005,9.7751,0.0000,10.1438,6.2800,10.0294,7.4510,0.0000,5.3993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4168,8.8570
c=B dc=+ h=M dh=- L=M dL=0 preo=M,0.0000,0.0000,0.0000,-0.1609,0.0000,3.8663,6.6392,6.3691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.7718,-0.4031,0.0000,5.2002,0.0000,7.5257,0.0000,0.0000,0.0000,0.0000,5.5115,0.0000,0.0000,7.1883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6382,5.1201,0.0000,0.0000,0.0000,0.0000,5.5968,0.0000,0.0000,2.5477,0.0000,7.4429,6.2104,0.0000,-0.5227,0.0000,0.0000,0.0000,6.0338,0.0000,5.3003,0.0000,0.0000,0.0000,0.0000,7.1828,0.0000,0.0000,0.0000,0.0000,7.6489,0.0000,0.0000,-0.7648,5.0655,0.0000,6.8206,7.1918,8.4211,9.3324,2.1206,13.5978,-0.1801,0.0000,0.0000,0.0000,-0.0211
c=B dc=+ h=M dh=- L=M dL=0 preo=A,0.0000,9.6288,0.0000,0.0000,0.0000,0.0000,5.3836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=+ h=M dh=- L=M dL=+ preo=B,0.0828,8.3807,6.8087,7.3633,6.9457,8.2995,6.8201,6.6564,11.1391,9.7439,9.7165,7.3540,7.6746,10.7547,6.1099,5.5036,8.7120,11.2769,0.0000,9.9258,0.0000,10.4492,0.0000,0.0000,9.2957,10.8485,8.6745,10.5559,11.2060,9.9413,9.8082,0.0000,5.9964,6.6791,8.5161,10.9691,5.1065,4.8653,11.4383,10.0185,7.2994,14.5839,10.9372,0.0000,10.0747,2.5046,6.1866,6.0129,8.9591,11.4747,10.7038,6.7323,11.2064,10.7417,5.9441,10.4581,5.9346,5.9086,8.5043,9.7049,0.0000,9.6673,6.6191,11.7061,7.3726,0.0000,0.0000,9.9551,7.2503,9.6310,10.1799,12.1016,13.2700,0.0000,12.3594,11.4250,0.0000,8.3533,0.0000,10.5070,10.6808
c=B dc=+ h=M dh=- L=M dL=+ preo=M,5.5445,6.4568,0.0000,12.1671,0.0000,-0.4862,0.0000,-0.5323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2503,0.0000,-0.5002,0.0000,0.0000,0.0000,0.0000,6.6478,0.0000,-0.7638,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2786,0.0000,0.0000,3.8491,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0910,0.0000,0.0000,0.0000,0.0000,-1.1260,0.0000,0.0000,0.0000,0.0000,-0.8752,0.0000,0.0000,6.1704,0.0000
c=B dc=+ h=M dh=- L=M dL=+ preo=A,0.0000,3.4726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.3971,-0.6247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4105,0.0000,0.0000
c=B dc=+ h=M dh=- L=A dL=- preo=B,0.0000,0.0000,0.0000,0.0000,6.0549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4775,0.0000,0.0000,0.0000,14.8611,0.0000,0.0000,0.0000,0.0000,7.6357,0.0000,7.5056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6611
c=B dc=+ h=M dh=- L=A dL=- preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0090,0.0000,0.0000,14.3661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=+ h=M dh=- L=A dL=- preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=+ h=M dh=- L=A dL=0 preo=B,0.0000,0.0000,0.0000,0.0000,0.0000,4.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
