estado,"a0=(0, 0, 0, 0)","a1=(0, 0, 0, 1)","a2=(0, 0, 0, 2)","a3=(0, 0, 1, 0)","a4=(0, 0, 1, 1)","a5=(0, 0, 1, 2)","a6=(0, 0, 2, 0)","a7=(0, 0, 2, 1)","a8=(0, 0, 2, 2)","a9=(0, 1, 0, 0)","a10=(0, 1, 0, 1)","a11=(0, 1, 0, 2)","a12=(0, 1, 1, 0)","a13=(0, 1, 1, 1)","a14=(0, 1, 1, 2)","a15=(0, 1, 2, 0)","a16=(0, 1, 2, 1)","a17=(0, 1, 2, 2)","a18=(0, 2, 0, 0)","a19=(0, 2, 0, 1)","a20=(0, 2, 0, 2)","a21=(0, 2, 1, 0)","a22=(0, 2, 1, 1)","a23=(0, 2, 1, 2)","a24=(0, 2, 2, 0)","a25=(0, 2, 2, 1)","a26=(0, 2, 2, 2)","a27=(1, 0, 0, 0)","a28=(1, 0, 0, 1)","a29=(1, 0, 0, 2)","a30=(1, 0, 1, 0)","a31=(1, 0, 1, 1)","a32=(1, 0, 1, 2)","a33=(1, 0, 2, 0)","a34=(1, 0, 2, 1)","a35=(1, 0, 2, 2)","a36=(1, 1, 0, 0)","a37=(1, 1, 0, 1)","a38=(1, 1, 0, 2)","a39=(1, 1, 1, 0)","a40=(1, 1, 1, 1)","a41=(1, 1, 1, 2)","a42=(1, 1, 2, 0)","a43=(1, 1, 2, 1)","a44=(1, 1, 2, 2)","a45=(1, 2, 0, 0)","a46=(1, 2, 0, 1)","a47=(1, 2, 0, 2)","a48=(1, 2, 1, 0)","a49=(1, 2, 1, 1)","a50=(1, 2, 1, 2)","a51=(1, 2, 2, 0)","a52=(1, 2, 2, 1)","a53=(1, 2, 2, 2)","a54=(2, 0, 0, 0)","a55=(2, 0, 0, 1)","a56=(2, 0, 0, 2)","a57=(2, 0, 1, 0)","a58=(2, 0, 1, 1)","a59=(2, 0, 1, 2)","a60=(2, 0, 2, 0)","a61=(2, 0, 2, 1)","a62=(2, 0, 2, 2)","a63=(2, 1, 0, 0)","a64=(2, 1, 0, 1)","a65=(2, 1, 0, 2)","a66=(2, 1, 1, 0)","a67=(2, 1, 1, 1)","a68=(2, 1, 1, 2)","a69=(2, 1, 2, 0)","a70=(2, 1, 2, 1)","a71=(2, 1, 2, 2)","a72=(2, 2, 0, 0)","a73=(2, 2, 0, 1)","a74=(2, 2, 0, 2)","a75=(2, 2, 1, 0)","a76=(2, 2, 1, 1)","a77=(2, 2, 1, 2)","a78=(2, 2, 2, 0)","a79=(2, 2, 2, 1)","a80=(2, 2, 2, 2)"
c=B dc=- h=B dh=- L=B dL=- preo=B,4.1984,15.4585,0.0000,0.0000,14.4442,10.1482,14.7148,7.0981,0.0000,8.1517,9.2457,0.0000,7.1792,0.0000,8.6722,7.7145,6.4383,10.2723,10.9328,6.5456,7.5891,10.3488,6.4665,16.0139,5.0265,13.2477,15.4201,6.0746,4.6683,11.2210,0.0000,9.8924,12.4831,13.3730,6.3109,10.9290,7.8415,12.4743,8.2767,13.4374,11.0184,11.5657,15.1302,13.8056,0.0000,7.2197,8.6712,0.0000,6.7047,8.8224,12.1212,14.6471,0.0000,11.9193,15.7835,13.8052,13.2622,10.5808,8.9080,0.0000,7.4982,7.6884,13.9473,12.9407,11.8462,11.6269,6.6969,0.0000,11.6496,17.6607,11.9227,12.4438,13.9479,7.4702,15.4589,15.6564,4.0630,12.4036,13.1316,8.3774,8.1727
c=B dc=- h=B dh=- L=B dL=- preo=M,0.0000,0.0000,0.0000,0.0000,13.5902,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9975
c=B dc=- h=B dh=- L=B dL=- preo=A,0.0000,5.6969,0.0000,0.0000,6.7089,-0.0165,0.0000,0.0000,0.0000,5.7094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.9644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=B dL=0 preo=B,0.0000,0.0000,4.1176,0.0000,0.0000,0.0000,10.4129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.1858,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=B dL=0 preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=B dL=0 preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2051,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=B dL=+ preo=B,0.0000,0.0000,0.0000,0.0000,0.0000,7.8141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5447,5.5549,8.9817,0.0000,0.0000,0.0000,7.0836,0.0000,0.0000,0.0000,0.0000,7.4811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3590,0.0000,17.1734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4177,0.0000,0.0000,0.0000,0.0000,8.0834,0.0000,0.0000,0.0000,12.0370,0.0000,0.0000,0.0000,8.4385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=B dL=+ preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=B dL=+ preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3478,0.0000,0.0000,0.0000,0.0000,0.0000,7.5159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4925,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=M dL=- preo=B,17.9770,15.8222,15.8709,17.3583,15.5561,15.4535,16.4525,15.5462,15.5376,16.4309,16.8982,14.2202,16.0438,16.4866,14.9418,16.6257,15.7193,14.6174,14.5053,15.6088,15.3648,16.6996,15.5760,15.8929,16.4151,13.3498,16.5561,16.5478,8.2297,13.1578,16.4354,16.3153,12.4677,13.2471,16.0957,15.4913,16.7248,13.5338,15.1534,14.5390,16.1493,15.7642,16.5275,16.0427,16.1695,17.0997,11.7193,17.5104,16.5831,16.8550,16.8178,15.7600,16.3697,16.8149,17.1920,16.3084,16.5977,16.2524,15.7677,16.8118,15.9032,16.5081,15.9124,15.3353,15.9579,16.8854,16.0107,15.8178,16.0300,16.5574,16.1431,16.2725,16.2437,16.5939,17.2521,16.8424,17.3566,15.4733,16.0444,16.3345,15.3161
c=B dc=- h=B dh=- L=M dL=- preo=M,0.0000,5.0811,6.3795,0.0000,7.0180,0.0000,0.0000,10.4419,6.6230,0.0000,7.2709,11.1160,6.3523,11.0710,0.0000,10.8156,7.7842,0.0000,12.9414,10.8650,11.3743,0.0000,13.9977,10.1271,5.3418,10.5926,6.8544,7.5986,14.3774,6.8005,7.4049,0.0000,0.0000,1.8229,0.0000,10.0863,7.3846,0.0000,6.8565,8.2493,10.4705,10.3537,0.0395,7.7813,9.1804,11.3034,7.5298,8.5261,0.0000,7.0844,0.0000,8.1061,8.2984,9.5978,4.4228,12.4530,0.0000,0.0000,0.0000,8.5580,7.1285,10.9237,5.8131,5.7173,7.7738,8.1809,13.6839,0.0000,0.0000,0.0000,14.2976,5.3121,0.0000,0.0000,7.5970,6.2871,6.6139,14.1558,12.0604,8.1659,16.1726
c=B dc=- h=B dh=- L=M dL=- preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9724,0.0000,0.0000
c=B dc=- h=B dh=- L=M dL=0 preo=B,15.1585,7.1812,15.0109,11.9616,11.9270,12.4065,15.1051,12.7459,7.3324,14.4871,11.6494,0.0000,13.5987,11.5386,7.3572,12.0023,8.7809,12.2683,14.3208,7.7713,8.1873,0.0000,7.6456,0.0000,15.6025,8.0341,8.8978,16.8041,11.9614,10.2515,8.3181,14.8899,11.0740,11.4067,9.3726,13.5923,7.4181,11.5164,8.1110,7.8105,14.0017,12.9954,7.9518,7.9868,0.0000,14.8277,0.0000,14.9762,16.5791,14.5352,14.5071,11.6329,12.4609,16.3736,14.0044,0.0000,5.7886,0.0000,13.7586,10.1856,11.5932,15.9284,8.7042,7.1315,15.1445,11.9277,15.3469,14.9175,11.5359,13.2655,17.5993,6.4552,11.4926,15.0549,8.0612,10.4882,14.2588,7.6941,7.8349,0.0000,7.6178
c=B dc=- h=B dh=- L=M dL=0 preo=M,4.9736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1731,0.0000,7.4452,0.0000,0.0000,0.0000,0.0000,0.0000,5.8872,6.9489,0.0000,5.0521,6.8419,9.9009,14.7497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2220,0.0000,8.2013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.4054,0.0000,0.0000,8.3528,0.0000,0.0000,0.0000,0.0000,0.0000,7.2223,7.8581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=M dL=0 preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7258,0.0000,0.0000,4.2120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=M dL=+ preo=B,18.1147,17.5626,16.8727,17.7769,17.2454,15.6990,17.4489,16.8617,16.2235,17.6787,17.1259,15.7716,17.2200,16.7873,17.2572,17.3029,16.5846,16.7678,17.4606,17.0437,15.5938,17.1923,16.9755,17.0330,16.4388,17.4097,17.3543,17.7701,17.0424,16.5459,17.4759,17.0043,16.2455,17.0986,16.0667,17.3169,17.0241,16.7614,17.0282,16.8675,16.9872,16.6424,16.7987,16.4781,17.3677,17.3270,17.3727,17.8804,17.5374,17.3229,17.5334,16.2179,17.0443,16.0303,17.3730,16.8565,15.4676,17.0385,17.1947,17.7165,16.6900,16.8602,17.4309,17.5762,17.1683,17.5329,17.5101,16.1368,17.6462,17.0073,17.7036,17.2889,17.3927,17.3105,17.2348,17.6034,17.9090,17.3472,17.5305,16.4748,16.9958
c=B dc=- h=B dh=- L=M dL=+ preo=M,0.0000,6.5795,0.0000,7.4977,0.0000,0.0000,0.0000,7.1888,6.4706,6.6582,10.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2362,6.4458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3551,0.0000,9.7068,6.4441,6.0571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8207,8.1319,6.6023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8361,6.5669,6.9451,0.0000,6.6673,0.0000,0.0000,0.0000,0.0000,0.0000,7.3496,7.2977,0.0000,0.0000,6.6535,7.6150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7737,0.0000,0.0000,15.6716,0.0000,7.6299,0.0000,7.3380
c=B dc=- h=B dh=- L=M dL=+ preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7693,0.0000,0.0000,0.0000,0.0000,3.6683,0.0000,0.0000,0.0000,0.0000,5.2679,0.0000,0.0000,0.0000,-0.0115,0.0000,0.0000,0.0000,4.3700,0.0000,0.0000,0.0000,4.9602,0.0000,0.0000,0.0000,0.0000,0.0000,4.1086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8855,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=A dL=- preo=B,18.1663,16.6368,15.5657,17.7941,16.2468,16.5580,17.5523,16.0636,15.4711,17.4228,16.5806,13.8789,17.2955,16.1444,16.4888,16.9297,16.5990,16.4827,16.7849,15.2640,16.8613,17.3472,16.0759,12.0363,15.8014,16.5624,15.6179,17.3431,15.5189,16.6580,16.0894,16.6560,16.0423,16.4119,14.4832,15.4669,16.8680,16.6083,16.5625,15.4987,9.0145,16.3733,16.3654,15.8336,12.8078,16.7294,15.8063,14.1881,17.5917,16.1079,16.9966,15.4409,16.7457,16.7914,17.1443,15.9625,16.1838,16.3739,16.0003,16.4367,16.2196,17.2128,16.6342,16.3141,17.0971,17.0853,15.5373,15.2950,16.7915,16.7353,15.8125,16.3947,16.8765,16.6993,16.9290,17.3499,17.4206,16.7240,16.9231,15.5641,16.1933
c=B dc=- h=B dh=- L=A dL=- preo=M,0.0000,5.8810,0.0000,0.0000,0.0000,0.0000,0.0000,5.4353,0.0000,0.0000,0.0000,0.0000,7.6976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8507,0.0000,7.4836,0.0000,0.0000,0.0000,7.9244,0.0000,0.0000,0.0000,7.0664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2260,0.0000,0.0000,0.0000,8.1901,4.7175,0.0000,7.6715,0.0000,7.8691,0.0000,6.6647,0.0000,1.9958,16.2583,7.5480,0.0000,0.0000,7.7466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=A dL=- preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=A dL=0 preo=B,18.2059,16.4190,16.5834,17.9810,16.7444,15.4941,16.9830,17.2304,16.1397,16.9487,16.9236,16.6384,16.9084,16.4084,16.0944,17.0749,15.5240,15.6170,17.3413,16.4160,16.4257,17.4238,16.8946,16.6232,16.5445,17.4528,16.5621,17.9985,16.7188,16.9494,17.2836,16.8631,17.2133,17.1854,15.7477,16.4088,17.1390,17.4381,16.4798,17.0073,16.3920,17.3335,17.1208,15.5458,16.4210,16.5980,16.4756,16.8588,17.0159,17.3042,16.7416,17.5652,17.2760,16.7399,17.3565,15.4232,14.9601,17.0037,16.2164,16.8949,17.3472,17.4010,17.2236,17.8041,16.2177,16.2303,17.5402,17.7094,16.5443,16.9741,17.2353,16.7600,17.0992,17.6381,16.8179,17.9785,17.3642,16.8349,17.4208,16.9769,16.5940
c=B dc=- h=B dh=- L=A dL=0 preo=M,7.3232,0.0000,0.0000,15.1958,0.0000,7.4964,0.0000,0.0000,6.2744,6.3599,6.4547,6.5819,0.0000,0.0000,6.3293,0.0000,0.0000,0.0000,0.0000,6.2787,0.0000,7.9804,7.3546,7.5941,0.0000,0.0000,0.0000,10.9481,7.4291,4.5809,0.0000,0.0000,9.0699,8.3286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8767,7.6808,0.0000,0.0000,0.0000,0.0000,0.0000,9.0698,7.7735,5.9364,0.0000,8.1705,11.8588,0.0000,0.0000,0.0000,5.0945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3907,8.0059,0.0000,0.0000,5.7431,0.0000,7.2872,0.0000,0.0000,8.0715,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=A dL=0 preo=A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=- L=A dL=+ preo=B,18.2790,17.5786,16.7138,17.8890,17.0968,16.0726,17.5218,16.8861,16.1414,17.8262,17.2359,16.4552,17.3912,16.6874,16.1666,17.1085,16.2196,16.3688,17.3173,17.1322,16.4792,17.3758,16.9359,16.6390,17.0426,16.9145,16.7905,17.8024,17.2120,16.1084,17.4660,16.8486,16.5006,17.2305,16.8720,16.6697,17.5541,17.1443,16.3356,17.1901,16.6614,16.5829,16.9564,16.6916,16.8914,17.2720,17.3297,17.1701,17.2278,17.2870,17.0256,17.5223,17.4159,16.7339,17.4882,17.0807,17.0159,17.1808,16.8889,16.9758,17.0074,17.1743,16.6929,17.3401,17.0239,17.3016,17.5504,17.1857,16.8971,17.5437,17.3973,16.7751,17.5458,17.3303,17.1420,17.7108,17.2419,16.8282,17.5768,17.0686,16.7590
c=B dc=- h=B dh=- L=A dL=+ preo=M,8.9227,0.0000,14.1598,12.6881,6.9747,13.0539,9.0858,12.0825,11.3785,13.5537,13.8569,10.4038,12.5675,0.0000,12.0629,0.0000,12.4375,10.3866,6.1782,11.5968,12.0286,11.1181,13.1806,12.8628,14.0188,13.3446,13.8690,13.9838,0.0000,0.0000,7.2736,13.7822,14.8269,12.7270,10.8311,13.2642,11.2174,8.0554,11.0653,7.1832,8.2189,6.0552,13.7091,0.0000,10.3126,1.5014,13.4807,12.8967,13.8912,13.4590,13.3310,11.2172,11.3801,14.1493,11.3310,12.9802,13.3603,12.4457,11.1762,14.3216,13.3131,10.0502,0.0000,10.4022,8.0516,12.9112,13.9043,6.4832,9.6989,11.1913,6.5413,14.6639,13.2819,13.3321,13.8816,10.3279,12.1356,12.4547,11.6934,13.9414,2.6540
c=B dc=- h=B dh=- L=A dL=+ preo=A,0.0000,9.6976,0.0000,0.0000,0.0000,0.0000,0.0000,4.1189,4.2385,0.0000,0.0000,0.0000,4.6521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2548,4.0449,0.0000,6.4846,0.0000,0.0000,1.3364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2949,0.6378,0.0000,0.0000,0.0000,0.0000,2.9578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
c=B dc=- h=B dh=0 L=B dL=- preo=B,0.0000,8.7157,10.4821,0.0000,0.0000,0.0000,8.1224,0.0000,0.0000,8.5824,0.0000,6.2536,17.4296,7.5724,0.0000,0.0000,2.7522,6.3490,11.8638,0.0000,0.0000,0.0000,0.0000,14.3440,7.0913,0.0000,0.0000,0.0000,11.3714,0.0000,8.6744,0.0000,6.1339,6.6793,4.4134,8.7414,0.0000,0.0000,8.7871,7.9641,0.0000,0.0000,0.0000,8.7949,0.0000,0.0000,9.0394,0.0000,0.0000,0.0000,7.8325,0.0000,0.0000,12.5972,0.0000,0.0000,9.2453,12.7134,8.8864,7.2075,9.5261,0.0000,2.5478,8.2967,10.7135,3.6325,0.0000,12.2632,8.0415,11.4379,0.0000,0.0000,7.8189,6.2658,3.8330,11.5368,0.0000,10.6272,0.0000,8.5048,0.0000
c=B dc=- h=B dh=0 L=B dL=- preo=M,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.5624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
