episodio,retorno_medio,retorno_ic95_lo,retorno_ic95_hi,td_medio,td_ic95_lo,td_ic95_hi
96,87.0133,74.9224,99.1042,0.767603,0.731712,0.803495
97,99.6955,85.5881,113.8030,0.782968,0.741864,0.824071
98,93.7691,82.6452,104.8929,0.758473,0.721478,0.795468
99,94.4924,85.5784,103.4064,0.750774,0.713190,0.788357
100,101.5741,89.9383,113.2098,0.762184,0.728391,0.795977
101,98.9987,89.6837,108.3137,0.753251,0.718996,0.787507
102,97.4197,84.4630,110.3763,0.732648,0.705542,0.759754
103,99.5072,89.5033,109.5111,0.748008,0.717592,0.778424
104,87.6880,74.9874,100.3885,0.772881,0.741566,0.804195
105,94.4482,86.3570,102.5394,0.746959,0.718470,0.775448
106,99.9429,89.9719,109.9139,0.753595,0.716973,0.790218
107,98.5620,88.5588,108.5652,0.763990,0.732464,0.795516
108,94.6350,83.8065,105.4634,0.784885,0.743872,0.825898
109,94.5552,84.8794,104.2309,0.773283,0.737928,0.808638
110,94.5517,84.8402,104.2632,0.755178,0.723622,0.786734
111,96.9038,85.6417,108.1660,0.730269,0.697280,0.763259
112,95.0468,83.6531,106.4405,0.749117,0.720798,0.777436
113,92.7898,80.3379,105.2418,0.740921,0.706813,0.775028
114,103.0431,92.9527,113.1336,0.761621,0.729016,0.794225
115,92.1773,83.6771,100.6776,0.781390,0.748677,0.814104
116,100.6705,92.3071,109.0339,0.747545,0.718924,0.776166
117,98.4360,89.8736,106.9984,0.751170,0.718557,0.783784
118,108.4922,100.2241,116.7603,0.757297,0.721787,0.792807
119,98.5307,87.5388,109.5225,0.728370,0.693503,0.763238
120,89.9940,77.6325,102.3555,0.764084,0.734495,0.793673
121,88.7432,78.9292,98.5573,0.771772,0.738133,0.805412
122,96.6393,85.5732,107.7054,0.755280,0.716795,0.793765
123,104.6814,95.5096,113.8532,0.753123,0.725896,0.780349
124,92.1236,80.6434,103.6039,0.771083,0.742022,0.800144
125,92.7936,80.9723,104.6148,0.757088,0.732338,0.781839
126,102.0222,92.5458,111.4986,0.752775,0.724139,0.781412
127,98.0303,88.3934,107.6671,0.739473,0.708577,0.770370
128,99.3773,90.2450,108.5096,0.745555,0.715264,0.775846
129,97.1247,86.2016,108.0479,0.742893,0.707660,0.778125
130,96.1675,85.1829,107.1521,0.746968,0.718613,0.775323
131,92.8336,86.5848,99.0823,0.758351,0.729745,0.786957
132,89.4523,77.4093,101.4952,0.737376,0.700677,0.774076
133,101.1679,90.1686,112.1673,0.734726,0.702084,0.767368
134,102.1439,92.4185,111.8694,0.737851,0.701406,0.774296
135,100.0179,91.2303,108.8055,0.735239,0.704904,0.765574
136,96.3663,88.2505,104.4821,0.754827,0.718673,0.790981
137,97.2115,86.9124,107.5107,0.756315,0.725658,0.786973
138,98.1133,86.6487,109.5778,0.734311,0.709170,0.759452
139,98.6360,89.0942,108.1778,0.754127,0.723865,0.784390
140,105.5746,97.3568,113.7924,0.747240,0.720806,0.773673
141,103.0117,90.3611,115.6623,0.712343,0.682779,0.741908
142,98.3521,87.6405,109.0637,0.735292,0.704278,0.766305
143,100.4431,90.5070,110.3792,0.739215,0.704970,0.773460
144,95.4546,85.1450,105.7642,0.751606,0.717235,0.785977
145,103.1982,93.5876,112.8087,0.717950,0.686740,0.749160
146,92.8924,81.2767,104.5081,0.752240,0.723119,0.781361
147,99.0709,88.8778,109.2640,0.745986,0.707559,0.784414
148,98.7374,90.0108,107.4640,0.725811,0.692628,0.758994
149,98.7310,88.8783,108.5837,0.729770,0.698685,0.760856
150,92.4629,82.7196,102.2062,0.738706,0.710863,0.766549
151,95.3702,84.5497,106.1907,0.730137,0.698234,0.762041
152,98.9005,87.1991,110.6019,0.750281,0.718380,0.782183
153,104.9700,95.3482,114.5918,0.743735,0.709993,0.777477
154,97.3686,88.2315,106.5057,0.721264,0.687930,0.754598
155,103.7493,92.7752,114.7235,0.735690,0.700651,0.770730
156,98.9123,89.0883,108.7363,0.760484,0.724980,0.795987
157,92.0013,84.1992,99.8033,0.713784,0.682823,0.744746
158,99.7514,90.5282,108.9747,0.721058,0.695072,0.747044
159,86.0542,76.1324,95.9760,0.766316,0.732112,0.800519
160,104.6595,96.5996,112.7195,0.717772,0.686947,0.748597
161,101.8914,92.9899,110.7929,0.722013,0.686194,0.757832
162,100.5705,92.3295,108.8115,0.743498,0.711710,0.775286
163,102.5465,93.1107,111.9823,0.746555,0.717029,0.776081
164,95.0767,83.6235,106.5299,0.732309,0.700277,0.764342
165,95.0595,85.4366,104.6824,0.755743,0.726947,0.784540
166,99.3490,87.9987,110.6994,0.743012,0.711061,0.774963
167,102.6518,95.7435,109.5601,0.765449,0.732566,0.798333
168,97.2568,88.1263,106.3873,0.713188,0.680713,0.745664
169,103.5094,92.9309,114.0878,0.734158,0.696766,0.771549
170,98.0881,86.9069,109.2694,0.717402,0.694337,0.740466
171,92.0809,80.5335,103.6283,0.734366,0.696682,0.772049
172,100.7188,92.0190,109.4186,0.736280,0.702551,0.770010
173,94.1086,83.1177,105.0995,0.752765,0.722885,0.782644
174,100.8079,89.8313,111.7846,0.718111,0.694028,0.742195
175,105.0039,96.5360,113.4719,0.731958,0.698882,0.765034
176,99.8890,89.9241,109.8538,0.745705,0.715137,0.776273
177,99.8834,87.8293,111.9375,0.735315,0.702714,0.767915
178,100.1205,90.4041,109.8368,0.744803,0.710982,0.778625
179,98.9606,89.5421,108.3791,0.727489,0.696436,0.758542
180,96.5579,88.3990,104.7167,0.712365,0.684470,0.740259
181,100.9090,92.3175,109.5005,0.742057,0.709544,0.774569
182,100.9798,92.0094,109.9502,0.710409,0.679604,0.741213
183,103.8806,92.5271,115.2341,0.715048,0.681626,0.748471
184,88.8091,77.7961,99.8222,0.712091,0.683393,0.740790
185,97.9150,88.2920,107.5381,0.716860,0.689366,0.744354
186,90.4567,80.5092,100.4041,0.731639,0.700425,0.762853
187,104.7025,94.0057,115.3993,0.713113,0.674089,0.752137
188,97.6688,88.1507,107.1868,0.727047,0.694948,0.759146
189,109.1048,101.1800,117.0295,0.740768,0.707159,0.774378
190,100.1961,92.2066,108.1855,0.717018,0.688989,0.745047
191,96.7099,88.6517,104.7682,0.721245,0.692664,0.749826
192,99.3074,90.0928,108.5220,0.738885,0.705823,0.771947
193,96.5119,86.7083,106.3155,0.718010,0.676887,0.759134
194,98.3525,89.4052,107.2998,0.730140,0.701322,0.758958
195,103.1315,92.5862,113.6767,0.724445,0.685767,0.763123
196,97.8907,88.6080,107.1734,0.727839,0.697542,0.758136
197,104.5823,94.4254,114.7392,0.727700,0.696923,0.758477
198,100.2155,89.4077,111.0233,0.718699,0.692706,0.744691
199,103.8820,94.7102,113.0537,0.725935,0.695067,0.756802
200,94.7438,86.3621,103.1255,0.740624,0.707072,0.774176
201,94.5784,86.1360,103.0207,0.728853,0.698907,0.758799
202,95.9404,86.8449,105.0359,0.715278,0.681832,0.748725
203,112.6497,105.0918,120.2075,0.717534,0.681917,0.753150
204,100.6231,92.3801,108.8661,0.721193,0.692943,0.749442
205,98.2447,87.9498,108.5396,0.718752,0.692330,0.745174
206,104.6329,96.1595,113.1063,0.706413,0.676883,0.735942
207,106.0995,95.3263,116.8726,0.714744,0.685010,0.744478
208,98.1592,87.3502,108.9682,0.738277,0.704118,0.772436
209,112.3901,103.9784,120.8017,0.691973,0.659094,0.724853
