episodio,retorno,c_medio,coste_medio,epsilon,error_TD_medio
175,129.6058,0.3421,5.1178,0.0200,0.631281
176,99.3628,0.3301,5.2247,0.0200,0.796093
177,88.9748,0.3363,5.1014,0.0200,0.525308
178,104.0978,0.3317,5.1096,0.0200,0.700248
179,106.9130,0.3394,5.1425,0.0200,0.509700
180,127.2284,0.3239,4.9781,0.0200,0.571673
181,109.8472,0.3372,5.1342,0.0200,0.683399
182,62.1737,0.3413,5.0521,0.0200,0.624861
183,88.2749,0.3346,5.1616,0.0200,0.699929
184,115.8230,0.3133,5.1863,0.0200,0.674036
185,100.9903,0.3404,5.1644,0.0200,0.602527
186,117.8220,0.3387,5.1589,0.0200,0.629038
187,107.4381,0.3310,5.1370,0.0200,0.684014
188,78.8479,0.3359,5.2000,0.0200,0.688668
189,173.7087,0.3330,5.1014,0.0200,0.556414
190,110.1349,0.3349,5.2137,0.0200,0.655070
191,107.1251,0.3250,5.2082,0.0200,0.607875
192,117.8420,0.3371,5.2493,0.0200,0.616557
193,101.8212,0.3370,5.1151,0.0200,0.579002
194,111.5098,0.3297,5.1534,0.0200,0.655000
195,113.6313,0.3305,5.3151,0.0200,0.793347
196,82.3939,0.3258,5.2027,0.0200,0.573773
197,102.7881,0.3327,5.1041,0.0200,0.636250
198,93.8889,0.3308,5.0904,0.0200,0.661674
199,98.4294,0.3270,5.2685,0.0200,0.642771
200,131.4862,0.3268,5.2055,0.0200,0.631626
201,93.0227,0.3310,5.1616,0.0200,0.671023
202,115.7704,0.3239,5.1068,0.0200,0.553995
203,113.7808,0.3328,5.1781,0.0200,0.708363
204,112.6430,0.3309,5.1918,0.0200,0.702513
205,79.4399,0.3314,5.1151,0.0200,0.621587
206,89.1032,0.3106,5.2274,0.0200,0.662817
207,116.1105,0.3307,5.2082,0.0200,0.657141
208,128.3806,0.2938,5.0329,0.0200,0.714336
209,106.0677,0.3331,5.2082,0.0200,0.632503
210,48.9352,0.3461,5.0466,0.0200,0.696813
211,82.9847,0.3368,5.1671,0.0200,0.611021
212,93.2529,0.3247,5.1205,0.0200,0.559506
213,134.2148,0.3331,5.2877,0.0200,0.754242
214,92.1560,0.3434,5.1973,0.0200,0.710219
215,93.9008,0.3291,5.3068,0.0200,0.686719
216,127.0276,0.3289,5.1425,0.0200,0.687068
217,117.0245,0.3335,5.0877,0.0200,0.727271
218,85.7214,0.3343,5.1096,0.0200,0.626397
219,83.7475,0.3340,5.1945,0.0200,0.765831
220,100.0740,0.3352,5.1753,0.0200,0.559730
221,110.9863,0.3305,5.1863,0.0200,0.669175
222,78.7468,0.3283,5.2164,0.0200,0.540588
223,119.3539,0.3289,5.1699,0.0200,0.592756
224,111.3268,0.3380,5.2740,0.0200,0.671716
225,88.8366,0.3278,5.2438,0.0200,0.523538
