estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=B dc=0 h=M dh=+ L=A dL=+ preo=M,contagio Bajo (estable); hospital Medio (sube); restriccion Alto (sube); cumplimiento Medio,calma,719,"(2, 2, 0, 1)",0.8950,6.0,"(2, 1, 1, 2)",0.0552,8.0,"(1, 2, 0, 1)",0.0283,5.0
c=B dc=0 h=M dh=+ L=A dL=+ preo=A,contagio Bajo (estable); hospital Medio (sube); restriccion Alto (sube); cumplimiento Alto,calma,21,"(0, 1, 0, 0)",0.9798,1.0,"(2, 0, 0, 1)",0.0012,4.0,"(1, 0, 0, 2)",0.0002,5.0
c=B dc=0 h=A dh=- L=B dL=- preo=B,contagio Bajo (estable); hospital Alto (baja); restriccion Bajo (baja); cumplimiento Bajo,emergencia,812,"(2, 2, 1, 1)",0.9582,7.0,"(2, 1, 1, 1)",0.0355,6.0,"(1, 2, 2, 0)",0.0032,5.0
c=B dc=0 h=A dh=- L=B dL=- preo=M,contagio Bajo (estable); hospital Alto (baja); restriccion Bajo (baja); cumplimiento Medio,emergencia,1956,"(2, 1, 2, 0)",0.6836,5.0,"(1, 1, 0, 2)",0.0793,6.0,"(1, 0, 2, 2)",0.0702,7.0
c=B dc=0 h=A dh=- L=B dL=- preo=A,contagio Bajo (estable); hospital Alto (baja); restriccion Bajo (baja); cumplimiento Alto,emergencia,33306,"(1, 2, 0, 2)",0.0321,7.0,"(1, 0, 0, 0)",0.0203,1.0,"(0, 1, 2, 0)",0.0198,3.0
c=B dc=0 h=A dh=- L=B dL=0 preo=B,contagio Bajo (estable); hospital Alto (baja); restriccion Bajo (estable); cumplimiento Bajo,emergencia,2,"(1, 0, 2, 2)",0.9962,7.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=B dc=0 h=A dh=- L=B dL=0 preo=M,contagio Bajo (estable); hospital Alto (baja); restriccion Bajo (estable); cumplimiento Medio,emergencia,16,"(1, 0, 2, 0)",0.9981,3.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=B dc=0 h=A dh=- L=B dL=0 preo=A,contagio Bajo (estable); hospital Alto (baja); restriccion Bajo (estable); cumplimiento Alto,emergencia,433,"(2, 0, 0, 1)",0.4718,4.0,"(1, 0, 0, 1)",0.0611,3.0,"(1, 0, 0, 2)",0.0329,5.0
c=B dc=0 h=A dh=- L=B dL=+ preo=B,contagio Bajo (estable); hospital Alto (baja); restriccion Bajo (sube); cumplimiento Bajo,emergencia,4,"(2, 0, 2, 1)",0.9964,6.0,"(1, 2, 1, 1)",0.0030,6.0,"(1, 0, 0, 1)",0.0000,3.0
c=B dc=0 h=A dh=- L=B dL=+ preo=M,contagio Bajo (estable); hospital Alto (baja); restriccion Bajo (sube); cumplimiento Medio,emergencia,11,"(2, 1, 1, 2)",0.9981,8.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
