estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=B dc=- h=B dh=- L=B dL=- preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Bajo,calma,7537,"(2, 1, 2, 0)",0.4454,5.0,"(0, 2, 1, 2)",0.0858,7.0,"(2, 0, 0, 0)",0.0681,2.0
c=B dc=- h=B dh=- L=B dL=- preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Medio,calma,311,"(0, 0, 1, 1)",0.9941,3.0,"(2, 2, 2, 2)",0.0037,10.0,"(0, 2, 1, 0)",0.0009,3.0
c=B dc=- h=B dh=- L=B dL=- preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Alto,calma,248,"(1, 1, 2, 2)",0.9325,8.0,"(0, 0, 1, 1)",0.0360,3.0,"(0, 1, 0, 0)",0.0132,1.0
c=B dc=- h=B dh=- L=B dL=0 preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Bajo,calma,299,"(0, 2, 0, 0)",0.9986,2.0,"(0, 0, 2, 0)",0.0011,2.0,"(2, 2, 0, 2)",0.0002,8.0
c=B dc=- h=B dh=- L=B dL=0 preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Medio,calma,22,"(1, 2, 1, 1)",1.0000,6.0,"(0, 2, 0, 2)",0.0000,6.0,"(0, 2, 1, 1)",0.0000,5.0
c=B dc=- h=B dh=- L=B dL=0 preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Alto,calma,58,"(2, 2, 1, 1)",0.9999,7.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=- h=B dh=- L=B dL=+ preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Bajo,calma,767,"(1, 1, 1, 0)",0.9929,3.0,"(2, 0, 1, 2)",0.0058,7.0,"(0, 2, 0, 2)",0.0003,6.0
c=B dc=- h=B dh=- L=B dL=+ preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Medio,calma,8,"(1, 1, 0, 0)",0.9999,2.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=B dc=- h=B dh=- L=B dL=+ preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Alto,calma,76,"(2, 2, 1, 2)",0.9476,9.0,"(1, 0, 2, 0)",0.0483,3.0,"(1, 0, 0, 0)",0.0020,1.0
c=B dc=- h=B dh=- L=M dL=- preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Bajo,calma,25448,"(0, 0, 0, 0)",0.0654,0.0,"(1, 2, 0, 2)",0.0410,7.0,"(0, 0, 1, 0)",0.0352,1.0
c=B dc=- h=B dh=- L=M dL=- preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Medio,calma,5047,"(2, 2, 2, 2)",0.5561,10.0,"(1, 0, 0, 1)",0.0924,3.0,"(2, 1, 2, 1)",0.0853,7.0
c=B dc=- h=B dh=- L=M dL=- preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Alto,calma,84,"(1, 2, 2, 1)",0.9981,7.0,"(2, 2, 2, 0)",0.0004,6.0,"(2, 2, 2, 2)",0.0000,10.0
c=B dc=- h=B dh=- L=M dL=0 preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Bajo,calma,8412,"(2, 1, 2, 1)",0.2758,7.0,"(1, 0, 0, 0)",0.1245,1.0,"(1, 2, 1, 0)",0.0994,4.0
c=B dc=- h=B dh=- L=M dL=0 preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Medio,calma,559,"(0, 2, 1, 1)",0.8995,5.0,"(2, 0, 1, 2)",0.0863,7.0,"(0, 2, 1, 0)",0.0070,3.0
c=B dc=- h=B dh=- L=M dL=0 preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Alto,calma,56,"(2, 0, 1, 0)",0.9964,3.0,"(0, 1, 1, 1)",0.0018,4.0,"(2, 0, 2, 0)",0.0005,4.0
c=B dc=- h=B dh=- L=M dL=+ preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Bajo,calma,413846,"(0, 0, 0, 0)",0.0312,0.0,"(2, 2, 1, 1)",0.0254,7.0,"(1, 2, 0, 2)",0.0247,7.0
c=B dc=- h=B dh=- L=M dL=+ preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Medio,calma,1791,"(2, 2, 1, 1)",0.9866,7.0,"(0, 1, 0, 1)",0.0037,3.0,"(1, 2, 1, 2)",0.0029,8.0
c=B dc=- h=B dh=- L=M dL=+ preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Alto,calma,288,"(2, 2, 1, 2)",0.9947,9.0,"(0, 1, 2, 1)",0.0013,5.0,"(1, 0, 0, 1)",0.0010,3.0
c=B dc=- h=B dh=- L=A dL=- preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Bajo,calma,36167,"(0, 0, 0, 0)",0.0580,0.0,"(0, 0, 1, 0)",0.0400,1.0,"(1, 2, 1, 0)",0.0327,4.0
c=B dc=- h=B dh=- L=A dL=- preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Medio,calma,872,"(2, 1, 1, 1)",0.9980,6.0,"(2, 0, 1, 0)",0.0003,3.0,"(1, 1, 1, 2)",0.0002,7.0
c=B dc=- h=B dh=- L=A dL=- preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Alto,calma,13,"(2, 0, 0, 1)",0.9700,4.0,"(2, 2, 2, 2)",0.0004,10.0,"(1, 1, 1, 0)",0.0004,3.0
c=B dc=- h=B dh=- L=A dL=0 preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Bajo,calma,104019,"(0, 0, 0, 0)",0.0401,0.0,"(1, 0, 0, 0)",0.0326,1.0,"(0, 0, 1, 0)",0.0320,1.0
c=B dc=- h=B dh=- L=A dL=0 preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Medio,calma,1671,"(0, 0, 1, 0)",0.9390,1.0,"(2, 0, 0, 0)",0.0334,2.0,"(1, 0, 0, 0)",0.0134,1.0
c=B dc=- h=B dh=- L=A dL=0 preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Alto,calma,9,"(2, 0, 2, 1)",0.9666,6.0,"(2, 2, 2, 2)",0.0004,10.0,"(1, 0, 0, 1)",0.0004,3.0
c=B dc=- h=B dh=- L=A dL=+ preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (sube); cumplimiento Bajo,calma,2090921,"(0, 0, 0, 0)",0.0382,0.0,"(0, 0, 1, 0)",0.0258,1.0,"(0, 1, 0, 0)",0.0243,1.0
c=B dc=- h=B dh=- L=A dL=+ preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (sube); cumplimiento Medio,calma,13000,"(1, 0, 1, 2)",0.0834,6.0,"(2, 1, 2, 2)",0.0709,9.0,"(2, 0, 1, 2)",0.0503,7.0
c=B dc=- h=B dh=- L=A dL=+ preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (sube); cumplimiento Alto,calma,821,"(0, 0, 0, 1)",0.9353,2.0,"(1, 2, 1, 1)",0.0376,6.0,"(0, 1, 1, 0)",0.0060,2.0
c=B dc=- h=B dh=0 L=B dL=- preo=B,contagio Bajo (baja); hospital Bajo (estable); restriccion Bajo (baja); cumplimiento Bajo,calma,2654,"(0, 1, 1, 0)",0.9209,2.0,"(0, 2, 1, 2)",0.0421,7.0,"(2, 0, 1, 0)",0.0082,3.0
c=B dc=- h=B dh=0 L=B dL=- preo=M,contagio Bajo (baja); hospital Bajo (estable); restriccion Bajo (baja); cumplimiento Medio,calma,76,"(0, 2, 1, 2)",1.0000,7.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 1, 1, 0)",0.0000,3.0
c=B dc=- h=B dh=0 L=B dL=- preo=A,contagio Bajo (baja); hospital Bajo (estable); restriccion Bajo (baja); cumplimiento Alto,calma,46,"(0, 0, 1, 2)",0.9943,5.0,"(0, 0, 2, 0)",0.0015,2.0,"(1, 1, 2, 0)",0.0008,4.0
c=B dc=- h=B dh=0 L=B dL=0 preo=B,contagio Bajo (baja); hospital Bajo (estable); restriccion Bajo (estable); cumplimiento Bajo,calma,96,"(2, 0, 2, 0)",0.9997,4.0,"(1, 2, 2, 1)",0.0001,7.0,"(1, 0, 1, 0)",0.0001,2.0
c=B dc=- h=B dh=0 L=B dL=0 preo=M,contagio Bajo (baja); hospital Bajo (estable); restriccion Bajo (estable); cumplimiento Medio,calma,2,"(1, 2, 0, 0)",0.9992,3.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=- h=B dh=0 L=B dL=0 preo=A,contagio Bajo (baja); hospital Bajo (estable); restriccion Bajo (estable); cumplimiento Alto,calma,12,"(0, 1, 1, 1)",0.9956,4.0,"(2, 2, 2, 2)",0.0001,10.0,"(0, 2, 0, 2)",0.0001,6.0
c=B dc=- h=B dh=0 L=B dL=+ preo=B,contagio Bajo (baja); hospital Bajo (estable); restriccion Bajo (sube); cumplimiento Bajo,calma,250,"(0, 0, 1, 1)",0.8996,3.0,"(0, 1, 0, 1)",0.0999,3.0,"(2, 1, 1, 0)",0.0002,4.0
c=B dc=- h=B dh=0 L=B dL=+ preo=M,contagio Bajo (baja); hospital Bajo (estable); restriccion Bajo (sube); cumplimiento Medio,calma,3,"(1, 1, 2, 0)",0.9995,4.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=- h=B dh=0 L=B dL=+ preo=A,contagio Bajo (baja); hospital Bajo (estable); restriccion Bajo (sube); cumplimiento Alto,calma,8,"(0, 0, 1, 2)",0.9588,5.0,"(2, 0, 0, 1)",0.0185,4.0,"(2, 2, 2, 2)",0.0003,10.0
c=B dc=- h=B dh=0 L=M dL=- preo=B,contagio Bajo (baja); hospital Bajo (estable); restriccion Medio (baja); cumplimiento Bajo,calma,7564,"(2, 1, 2, 1)",0.4008,7.0,"(1, 1, 2, 0)",0.1089,4.0,"(1, 2, 2, 0)",0.0908,5.0
c=B dc=- h=B dh=0 L=M dL=- preo=M,contagio Bajo (baja); hospital Bajo (estable); restriccion Medio (baja); cumplimiento Medio,calma,644,"(2, 1, 1, 0)",0.9955,4.0,"(1, 2, 2, 2)",0.0012,9.0,"(2, 1, 1, 2)",0.0011,8.0
c=B dc=- h=B dh=0 L=M dL=- preo=A,contagio Bajo (baja); hospital Bajo (estable); restriccion Medio (baja); cumplimiento Alto,calma,32,"(1, 2, 2, 2)",0.9908,9.0,"(2, 2, 2, 2)",0.0001,10.0,"(1, 1, 1, 0)",0.0001,3.0
c=B dc=- h=B dh=0 L=M dL=0 preo=B,contagio Bajo (baja); hospital Bajo (estable); restriccion Medio (estable); cumplimiento Bajo,calma,3066,"(1, 0, 2, 0)",0.8850,3.0,"(0, 1, 0, 0)",0.0211,1.0,"(0, 1, 1, 0)",0.0204,2.0
c=B dc=- h=B dh=0 L=M dL=0 preo=M,contagio Bajo (baja); hospital Bajo (estable); restriccion Medio (estable); cumplimiento Medio,calma,88,"(1, 1, 2, 1)",0.9991,6.0,"(1, 2, 0, 2)",0.0006,7.0,"(2, 1, 0, 1)",0.0002,5.0
c=B dc=- h=B dh=0 L=M dL=0 preo=A,contagio Bajo (baja); hospital Bajo (estable); restriccion Medio (estable); cumplimiento Alto,calma,15,"(0, 2, 2, 1)",0.9872,6.0,"(2, 2, 2, 2)",0.0002,10.0,"(1, 1, 1, 0)",0.0002,3.0
c=B dc=- h=B dh=0 L=M dL=+ preo=B,contagio Bajo (baja); hospital Bajo (estable); restriccion Medio (sube); cumplimiento Bajo,calma,161749,"(0, 0, 0, 0)",0.0347,0.0,"(2, 2, 0, 0)",0.0268,4.0,"(2, 2, 1, 0)",0.0254,5.0
c=B dc=- h=B dh=0 L=M dL=+ preo=M,contagio Bajo (baja); hospital Bajo (estable); restriccion Medio (sube); cumplimiento Medio,calma,308,"(1, 1, 0, 0)",0.9908,2.0,"(1, 2, 1, 2)",0.0037,8.0,"(2, 1, 2, 2)",0.0020,9.0
c=B dc=- h=B dh=0 L=M dL=+ preo=A,contagio Bajo (baja); hospital Bajo (estable); restriccion Medio (sube); cumplimiento Alto,calma,110,"(2, 1, 2, 0)",0.9815,5.0,"(0, 0, 0, 0)",0.0059,0.0,"(0, 2, 1, 2)",0.0040,7.0
c=B dc=- h=B dh=0 L=A dL=- preo=B,contagio Bajo (baja); hospital Bajo (estable); restriccion Alto (baja); cumplimiento Bajo,calma,17770,"(0, 0, 0, 0)",0.1600,0.0,"(0, 0, 1, 0)",0.1074,1.0,"(2, 1, 0, 1)",0.0481,5.0
c=B dc=- h=B dh=0 L=A dL=- preo=M,contagio Bajo (baja); hospital Bajo (estable); restriccion Alto (baja); cumplimiento Medio,calma,451,"(0, 1, 0, 2)",0.9946,5.0,"(1, 0, 2, 2)",0.0016,7.0,"(2, 0, 2, 1)",0.0005,6.0
c=B dc=- h=B dh=0 L=A dL=- preo=A,contagio Bajo (baja); hospital Bajo (estable); restriccion Alto (baja); cumplimiento Alto,calma,2,"(1, 0, 0, 1)",0.8042,3.0,"(2, 2, 2, 2)",0.0024,10.0,"(1, 1, 1, 0)",0.0024,3.0
c=B dc=- h=B dh=0 L=A dL=0 preo=B,contagio Bajo (baja); hospital Bajo (estable); restriccion Alto (estable); cumplimiento Bajo,calma,77160,"(0, 0, 0, 0)",0.0445,0.0,"(0, 0, 1, 0)",0.0343,1.0,"(2, 2, 1, 0)",0.0315,5.0
c=B dc=- h=B dh=0 L=A dL=0 preo=M,contagio Bajo (baja); hospital Bajo (estable); restriccion Alto (estable); cumplimiento Medio,calma,637,"(2, 0, 1, 0)",0.9927,3.0,"(2, 0, 2, 1)",0.0022,6.0,"(0, 1, 2, 1)",0.0015,5.0
c=B dc=- h=B dh=0 L=A dL=0 preo=A,contagio Bajo (baja); hospital Bajo (estable); restriccion Alto (estable); cumplimiento Alto,calma,5,"(0, 1, 0, 2)",0.9969,5.0,"(2, 2, 2, 2)",0.0000,10.0,"(0, 2, 0, 2)",0.0000,6.0
c=B dc=- h=B dh=0 L=A dL=+ preo=B,contagio Bajo (baja); hospital Bajo (estable); restriccion Alto (sube); cumplimiento Bajo,calma,991023,"(0, 0, 0, 0)",0.0356,0.0,"(1, 0, 0, 0)",0.0243,1.0,"(0, 1, 0, 0)",0.0233,1.0
c=B dc=- h=B dh=0 L=A dL=+ preo=M,contagio Bajo (baja); hospital Bajo (estable); restriccion Alto (sube); cumplimiento Medio,calma,2616,"(2, 2, 2, 0)",0.7553,6.0,"(2, 2, 2, 2)",0.0847,10.0,"(0, 2, 0, 2)",0.0515,6.0
c=B dc=- h=B dh=0 L=A dL=+ preo=A,contagio Bajo (baja); hospital Bajo (estable); restriccion Alto (sube); cumplimiento Alto,calma,301,"(1, 2, 1, 0)",0.9508,4.0,"(2, 0, 0, 2)",0.0229,6.0,"(2, 0, 1, 2)",0.0060,7.0
c=B dc=- h=B dh=+ L=B dL=- preo=B,contagio Bajo (baja); hospital Bajo (sube); restriccion Bajo (baja); cumplimiento Bajo,calma,4200,"(0, 0, 0, 2)",0.3151,4.0,"(2, 0, 0, 0)",0.2100,2.0,"(1, 2, 0, 2)",0.1196,7.0
c=B dc=- h=B dh=+ L=B dL=- preo=M,contagio Bajo (baja); hospital Bajo (sube); restriccion Bajo (baja); cumplimiento Medio,calma,108,"(0, 1, 0, 2)",0.9824,5.0,"(1, 1, 0, 2)",0.0082,6.0,"(0, 2, 1, 2)",0.0074,7.0
c=B dc=- h=B dh=+ L=B dL=- preo=A,contagio Bajo (baja); hospital Bajo (sube); restriccion Bajo (baja); cumplimiento Alto,calma,254,"(0, 0, 1, 0)",0.8739,1.0,"(0, 2, 0, 2)",0.0758,6.0,"(0, 0, 1, 1)",0.0122,3.0
c=B dc=- h=B dh=+ L=B dL=0 preo=B,contagio Bajo (baja); hospital Bajo (sube); restriccion Bajo (estable); cumplimiento Bajo,calma,134,"(0, 2, 1, 2)",0.9997,7.0,"(2, 2, 1, 2)",0.0002,9.0,"(2, 0, 0, 1)",0.0001,4.0
c=B dc=- h=B dh=+ L=B dL=0 preo=M,contagio Bajo (baja); hospital Bajo (sube); restriccion Bajo (estable); cumplimiento Medio,calma,6,"(2, 2, 0, 1)",1.0000,6.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=- h=B dh=+ L=B dL=0 preo=A,contagio Bajo (baja); hospital Bajo (sube); restriccion Bajo (estable); cumplimiento Alto,calma,20,"(0, 0, 0, 0)",0.9975,0.0,"(1, 1, 1, 0)",0.0000,3.0,"(0, 2, 1, 0)",0.0000,3.0
c=B dc=- h=B dh=+ L=B dL=+ preo=B,contagio Bajo (baja); hospital Bajo (sube); restriccion Bajo (sube); cumplimiento Bajo,calma,410,"(1, 0, 1, 1)",0.9968,4.0,"(0, 1, 2, 2)",0.0006,7.0,"(0, 1, 2, 0)",0.0005,3.0
c=B dc=- h=B dh=+ L=B dL=+ preo=M,contagio Bajo (baja); hospital Bajo (sube); restriccion Bajo (sube); cumplimiento Medio,calma,1,"(1, 0, 1, 0)",0.8308,2.0,"(2, 2, 2, 2)",0.0021,10.0,"(1, 0, 0, 1)",0.0021,3.0
c=B dc=- h=B dh=+ L=B dL=+ preo=A,contagio Bajo (baja); hospital Bajo (sube); restriccion Bajo (sube); cumplimiento Alto,calma,17,"(0, 2, 1, 2)",0.9959,7.0,"(2, 2, 2, 2)",0.0001,10.0,"(1, 1, 1, 0)",0.0001,3.0
c=B dc=- h=B dh=+ L=M dL=- preo=B,contagio Bajo (baja); hospital Bajo (sube); restriccion Medio (baja); cumplimiento Bajo,calma,11845,"(2, 2, 0, 1)",0.2108,6.0,"(1, 0, 0, 0)",0.1143,1.0,"(2, 0, 1, 1)",0.0777,5.0
c=B dc=- h=B dh=+ L=M dL=- preo=M,contagio Bajo (baja); hospital Bajo (sube); restriccion Medio (baja); cumplimiento Medio,calma,822,"(0, 1, 2, 0)",0.9572,3.0,"(1, 0, 1, 0)",0.0255,2.0,"(1, 0, 0, 2)",0.0078,5.0
c=B dc=- h=B dh=+ L=M dL=- preo=A,contagio Bajo (baja); hospital Bajo (sube); restriccion Medio (baja); cumplimiento Alto,calma,133,"(2, 2, 1, 0)",0.8245,5.0,"(2, 1, 0, 2)",0.1492,7.0,"(0, 2, 2, 0)",0.0068,4.0
c=B dc=- h=B dh=+ L=M dL=0 preo=B,contagio Bajo (baja); hospital Bajo (sube); restriccion Medio (estable); cumplimiento Bajo,calma,5039,"(0, 2, 0, 0)",0.5130,2.0,"(1, 2, 1, 2)",0.1855,8.0,"(2, 2, 0, 2)",0.0887,8.0
c=B dc=- h=B dh=+ L=M dL=0 preo=M,contagio Bajo (baja); hospital Bajo (sube); restriccion Medio (estable); cumplimiento Medio,calma,113,"(2, 2, 2, 1)",0.9999,8.0,"(0, 2, 0, 1)",0.0001,4.0,"(0, 0, 1, 2)",0.0000,5.0
c=B dc=- h=B dh=+ L=M dL=0 preo=A,contagio Bajo (baja); hospital Bajo (sube); restriccion Medio (estable); cumplimiento Alto,calma,82,"(0, 0, 2, 1)",0.9832,4.0,"(2, 2, 0, 0)",0.0076,4.0,"(2, 2, 2, 2)",0.0001,10.0
c=B dc=- h=B dh=+ L=M dL=+ preo=B,contagio Bajo (baja); hospital Bajo (sube); restriccion Medio (sube); cumplimiento Bajo,calma,247360,"(0, 0, 0, 0)",0.0349,0.0,"(2, 2, 1, 0)",0.0260,5.0,"(0, 2, 0, 0)",0.0257,2.0
c=B dc=- h=B dh=+ L=M dL=+ preo=M,contagio Bajo (baja); hospital Bajo (sube); restriccion Medio (sube); cumplimiento Medio,calma,295,"(2, 2, 1, 0)",0.9989,5.0,"(1, 1, 2, 0)",0.0005,4.0,"(2, 1, 0, 2)",0.0002,7.0
c=B dc=- h=B dh=+ L=M dL=+ preo=A,contagio Bajo (baja); hospital Bajo (sube); restriccion Medio (sube); cumplimiento Alto,calma,581,"(1, 2, 0, 2)",0.9081,7.0,"(2, 1, 1, 1)",0.0289,6.0,"(1, 2, 1, 0)",0.0092,4.0
c=B dc=- h=B dh=+ L=A dL=- preo=B,contagio Bajo (baja); hospital Bajo (sube); restriccion Alto (baja); cumplimiento Bajo,calma,35520,"(0, 1, 0, 0)",0.0671,1.0,"(1, 0, 0, 0)",0.0405,1.0,"(0, 0, 2, 0)",0.0331,2.0
c=B dc=- h=B dh=+ L=A dL=- preo=M,contagio Bajo (baja); hospital Bajo (sube); restriccion Alto (baja); cumplimiento Medio,calma,440,"(1, 2, 0, 0)",0.9770,3.0,"(2, 2, 0, 0)",0.0183,4.0,"(1, 0, 0, 1)",0.0037,3.0
c=B dc=- h=B dh=+ L=A dL=- preo=A,contagio Bajo (baja); hospital Bajo (sube); restriccion Alto (baja); cumplimiento Alto,calma,10,"(1, 0, 0, 2)",0.9919,5.0,"(0, 2, 0, 1)",0.0002,4.0,"(1, 1, 0, 1)",0.0001,4.0
c=B dc=- h=B dh=+ L=A dL=0 preo=B,contagio Bajo (baja); hospital Bajo (sube); restriccion Alto (estable); cumplimiento Bajo,calma,161406,"(0, 0, 0, 0)",0.0363,0.0,"(2, 0, 2, 0)",0.0281,4.0,"(1, 2, 2, 0)",0.0262,5.0
c=B dc=- h=B dh=+ L=A dL=0 preo=M,contagio Bajo (baja); hospital Bajo (sube); restriccion Alto (estable); cumplimiento Medio,calma,696,"(0, 1, 0, 1)",0.9830,3.0,"(2, 0, 1, 0)",0.0066,3.0,"(1, 0, 2, 1)",0.0025,5.0
c=B dc=- h=B dh=+ L=A dL=0 preo=A,contagio Bajo (baja); hospital Bajo (sube); restriccion Alto (estable); cumplimiento Alto,calma,35,"(2, 1, 1, 1)",0.9935,6.0,"(2, 2, 2, 2)",0.0001,10.0,"(1, 0, 0, 1)",0.0001,3.0
c=B dc=- h=B dh=+ L=A dL=+ preo=B,contagio Bajo (baja); hospital Bajo (sube); restriccion Alto (sube); cumplimiento Bajo,calma,1561634,"(0, 0, 0, 0)",0.0374,0.0,"(0, 0, 1, 0)",0.0250,1.0,"(2, 2, 1, 0)",0.0242,5.0
c=B dc=- h=B dh=+ L=A dL=+ preo=M,contagio Bajo (baja); hospital Bajo (sube); restriccion Alto (sube); cumplimiento Medio,calma,3143,"(2, 2, 0, 1)",0.6350,6.0,"(0, 2, 1, 2)",0.1883,7.0,"(0, 1, 2, 2)",0.0489,7.0
c=B dc=- h=B dh=+ L=A dL=+ preo=A,contagio Bajo (baja); hospital Bajo (sube); restriccion Alto (sube); cumplimiento Alto,calma,2595,"(1, 1, 1, 0)",0.3100,3.0,"(0, 2, 2, 0)",0.1528,4.0,"(2, 1, 1, 2)",0.1445,8.0
c=B dc=- h=M dh=- L=B dL=- preo=B,contagio Bajo (baja); hospital Medio (baja); restriccion Bajo (baja); cumplimiento Bajo,calma,3082,"(0, 2, 2, 0)",0.4879,4.0,"(2, 0, 0, 2)",0.1858,6.0,"(2, 2, 0, 2)",0.1219,8.0
c=B dc=- h=M dh=- L=B dL=- preo=M,contagio Bajo (baja); hospital Medio (baja); restriccion Bajo (baja); cumplimiento Medio,calma,1161,"(1, 1, 1, 2)",0.9006,7.0,"(0, 0, 1, 2)",0.0499,5.0,"(1, 0, 2, 2)",0.0120,7.0
c=B dc=- h=M dh=- L=B dL=- preo=A,contagio Bajo (baja); hospital Medio (baja); restriccion Bajo (baja); cumplimiento Alto,calma,471,"(2, 1, 2, 1)",0.9783,7.0,"(2, 2, 0, 1)",0.0078,6.0,"(0, 2, 1, 0)",0.0037,3.0
c=B dc=- h=M dh=- L=B dL=0 preo=B,contagio Bajo (baja); hospital Medio (baja); restriccion Bajo (estable); cumplimiento Bajo,calma,116,"(0, 1, 2, 1)",0.9972,5.0,"(0, 0, 0, 0)",0.0010,0.0,"(0, 1, 1, 0)",0.0007,2.0
c=B dc=- h=M dh=- L=B dL=0 preo=M,contagio Bajo (baja); hospital Medio (baja); restriccion Bajo (estable); cumplimiento Medio,calma,23,"(0, 2, 1, 1)",0.9992,5.0,"(1, 1, 2, 2)",0.0007,8.0,"(2, 2, 2, 2)",0.0000,10.0
c=B dc=- h=M dh=- L=B dL=0 preo=A,contagio Bajo (baja); hospital Medio (baja); restriccion Bajo (estable); cumplimiento Alto,calma,12,"(0, 0, 2, 2)",0.9987,6.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 1, 0)",0.0000,2.0
c=B dc=- h=M dh=- L=B dL=+ preo=B,contagio Bajo (baja); hospital Medio (baja); restriccion Bajo (sube); cumplimiento Bajo,calma,192,"(0, 1, 1, 0)",0.9995,2.0,"(0, 0, 0, 0)",0.0002,0.0,"(1, 2, 0, 1)",0.0002,5.0
c=B dc=- h=M dh=- L=B dL=+ preo=M,contagio Bajo (baja); hospital Medio (baja); restriccion Bajo (sube); cumplimiento Medio,calma,19,"(1, 0, 0, 0)",0.9995,1.0,"(2, 2, 2, 2)",0.0000,10.0,"(2, 2, 2, 1)",0.0000,8.0
c=B dc=- h=M dh=- L=B dL=+ preo=A,contagio Bajo (baja); hospital Medio (baja); restriccion Bajo (sube); cumplimiento Alto,calma,24,"(2, 0, 1, 1)",0.9770,5.0,"(0, 2, 0, 2)",0.0013,6.0,"(2, 2, 0, 1)",0.0005,6.0
c=B dc=- h=M dh=- L=M dL=- preo=B,contagio Bajo (baja); hospital Medio (baja); restriccion Medio (baja); cumplimiento Bajo,calma,20222,"(0, 2, 0, 0)",0.0470,2.0,"(1, 0, 1, 0)",0.0393,2.0,"(2, 1, 1, 0)",0.0369,4.0
c=B dc=- h=M dh=- L=M dL=- preo=M,contagio Bajo (baja); hospital Medio (baja); restriccion Medio (baja); cumplimiento Medio,calma,24631,"(2, 2, 1, 0)",0.0588,5.0,"(2, 2, 1, 2)",0.0484,9.0,"(1, 2, 0, 2)",0.0422,7.0
c=B dc=- h=M dh=- L=M dL=- preo=A,contagio Bajo (baja); hospital Medio (baja); restriccion Medio (baja); cumplimiento Alto,calma,412,"(0, 1, 0, 1)",0.6771,3.0,"(0, 0, 1, 2)",0.2419,5.0,"(0, 2, 2, 0)",0.0239,4.0
c=B dc=- h=M dh=- L=M dL=0 preo=B,contagio Bajo (baja); hospital Medio (baja); restriccion Medio (estable); cumplimiento Bajo,calma,7047,"(1, 2, 2, 0)",0.2696,5.0,"(2, 2, 2, 0)",0.1516,6.0,"(1, 1, 2, 1)",0.1498,6.0
c=B dc=- h=M dh=- L=M dL=0 preo=M,contagio Bajo (baja); hospital Medio (baja); restriccion Medio (estable); cumplimiento Medio,calma,2601,"(2, 2, 0, 1)",0.9484,6.0,"(0, 2, 0, 1)",0.0238,4.0,"(0, 1, 1, 2)",0.0124,6.0
