alpha0,episodio,retorno,td
0.9,89910,285.74,0.3684
0.9,90243,286.08,0.3643
0.9,90576,277.60,0.3953
0.9,90909,277.63,0.3810
0.9,91242,277.08,0.3965
0.9,91575,280.01,0.3777
0.9,91908,280.57,0.3913
0.9,92241,285.78,0.3715
0.9,92574,281.42,0.3889
0.9,92907,280.40,0.3797
0.9,93240,278.68,0.3749
0.9,93573,281.32,0.3750
0.9,93906,282.10,0.3803
0.9,94239,280.11,0.3909
0.9,94572,274.11,0.4067
0.9,94905,281.82,0.3957
0.9,95238,285.83,0.3747
0.9,95571,280.19,0.3886
0.9,95904,277.12,0.3865
0.9,96237,275.61,0.3920
0.9,96570,283.17,0.3793
0.9,96903,280.12,0.3890
0.9,97236,285.64,0.3797
0.9,97569,275.22,0.3870
0.9,97902,280.56,0.3883
0.9,98235,287.47,0.3856
0.9,98568,278.58,0.3953
0.9,98901,282.96,0.3787
0.9,99234,275.29,0.3854
0.9,99567,278.51,0.3996
0.9,99900,277.19,0.4083
