alpha0,episodio,retorno,td
0.1,57942,241.35,0.5732
0.1,58275,245.12,0.5844
0.1,58608,245.68,0.5746
0.1,58941,244.99,0.5815
0.1,59274,241.86,0.5755
0.1,59607,244.66,0.5640
0.1,59940,241.34,0.5858
0.1,60273,241.41,0.5924
0.1,60606,250.84,0.5691
0.1,60939,244.46,0.5931
0.1,61272,246.85,0.5956
0.1,61605,246.72,0.5758
0.1,61938,247.02,0.5850
0.1,62271,248.57,0.5479
0.1,62604,247.00,0.5646
0.1,62937,249.09,0.5430
0.1,63270,261.52,0.5372
0.1,63603,241.36,0.5709
0.1,63936,241.75,0.5820
0.1,64269,243.28,0.5615
0.1,64602,253.31,0.5473
0.1,64935,245.01,0.5676
0.1,65268,241.94,0.5801
0.1,65601,242.63,0.5840
0.1,65934,252.57,0.5505
0.1,66267,243.80,0.5724
0.1,66600,248.72,0.5596
0.1,66933,248.26,0.5633
0.1,67266,245.78,0.5826
0.1,67599,247.84,0.5295
0.1,67932,251.03,0.5477
0.1,68265,250.25,0.5366
0.1,68598,251.98,0.5360
0.1,68931,250.05,0.5469
0.1,69264,240.02,0.5723
0.1,69597,247.80,0.5510
0.1,69930,252.06,0.5537
0.1,70263,254.10,0.5369
0.1,70596,257.43,0.5287
0.1,70929,249.17,0.5502
0.1,71262,252.62,0.5438
0.1,71595,246.36,0.5678
0.1,71928,254.32,0.5225
0.1,72261,250.81,0.5288
0.1,72594,254.77,0.5292
0.1,72927,254.58,0.5442
0.1,73260,250.39,0.5618
0.1,73593,253.72,0.5372
0.1,73926,250.75,0.5388
0.1,74259,251.57,0.5349
0.1,74592,260.44,0.5504
0.1,74925,256.79,0.5348
0.1,75258,256.71,0.5229
0.1,75591,247.73,0.5394
0.1,75924,260.20,0.5242
0.1,76257,254.60,0.5352
0.1,76590,254.64,0.5241
0.1,76923,247.66,0.5341
0.1,77256,253.64,0.5548
0.1,77589,250.40,0.5347
0.1,77922,247.96,0.5467
0.1,78255,256.39,0.5330
0.1,78588,257.55,0.5176
0.1,78921,244.67,0.5500
0.1,79254,257.37,0.5105
0.1,79587,256.80,0.5181
0.1,79920,251.57,0.5437
0.1,80253,251.22,0.5586
0.1,80586,264.53,0.5081
0.1,80919,250.65,0.5287
0.1,81252,249.26,0.5308
0.1,81585,255.62,0.5219
0.1,81918,257.56,0.5303
0.1,82251,258.73,0.5072
0.1,82584,250.25,0.5595
0.1,82917,251.60,0.5207
0.1,83250,254.53,0.5089
0.1,83583,253.84,0.5450
0.1,83916,258.44,0.5282
0.1,84249,253.68,0.5355
0.1,84582,258.65,0.5064
0.1,84915,257.16,0.5265
0.1,85248,251.99,0.5314
0.1,85581,251.15,0.5488
0.1,85914,256.49,0.5334
0.1,86247,256.47,0.5190
0.1,86580,254.24,0.5253
0.1,86913,252.32,0.5293
0.1,87246,249.85,0.5285
0.1,87579,252.41,0.5144
0.1,87912,249.61,0.5382
0.1,88245,264.16,0.5354
0.1,88578,256.26,0.5136
0.1,88911,254.68,0.5169
0.1,89244,263.98,0.5022
0.1,89577,248.49,0.5287
0.1,89910,258.00,0.5201
0.1,90243,255.04,0.5087
0.1,90576,244.77,0.5496
0.1,90909,253.97,0.5282
0.1,91242,253.24,0.5236
0.1,91575,248.69,0.5390
0.1,91908,257.34,0.4945
0.1,92241,251.52,0.5378
0.1,92574,262.12,0.5044
0.1,92907,261.30,0.5091
0.1,93240,260.60,0.4873
0.1,93573,261.25,0.5011
0.1,93906,257.45,0.5225
0.1,94239,259.86,0.4902
0.1,94572,257.77,0.5127
0.1,94905,257.77,0.5160
0.1,95238,256.95,0.5286
0.1,95571,264.48,0.5110
0.1,95904,254.82,0.5152
0.1,96237,259.28,0.4996
0.1,96570,253.64,0.5218
0.1,96903,259.88,0.5125
0.1,97236,256.26,0.5186
0.1,97569,261.62,0.5079
0.1,97902,256.50,0.5069
0.1,98235,263.36,0.4982
0.1,98568,259.39,0.5101
0.1,98901,259.25,0.4921
0.1,99234,263.92,0.4915
0.1,99567,252.18,0.5191
0.1,99900,259.11,0.4949
0.5,0,-103.48,0.5554
0.5,333,104.32,0.7489
0.5,666,129.20,0.6959
0.5,999,136.74,0.7196
0.5,1332,156.36,0.6960
0.5,1665,154.32,0.7131
0.5,1998,184.16,0.6709
0.5,2331,179.94,0.7119
0.5,2664,191.38,0.7339
0.5,2997,192.65,0.7177
0.5,3330,198.36,0.7229
0.5,3663,205.14,0.6905
0.5,3996,206.73,0.7216
0.5,4329,205.05,0.6998
0.5,4662,207.10,0.6897
0.5,4995,217.51,0.6685
0.5,5328,222.68,0.6807
0.5,5661,219.23,0.6617
0.5,5994,226.93,0.6542
0.5,6327,215.37,0.6776
0.5,6660,225.05,0.6346
0.5,6993,225.13,0.6539
0.5,7326,237.50,0.6052
0.5,7659,235.41,0.6150
0.5,7992,236.92,0.5931
0.5,8325,229.78,0.5881
0.5,8658,238.64,0.5852
0.5,8991,231.43,0.6125
0.5,9324,234.18,0.5960
0.5,9657,238.79,0.5724
0.5,9990,242.63,0.5710
0.5,10323,238.34,0.5695
0.5,10656,242.94,0.5628
0.5,10989,242.30,0.5453
0.5,11322,236.92,0.5673
0.5,11655,242.14,0.5690
0.5,11988,246.62,0.5565
0.5,12321,243.29,0.5894
0.5,12654,237.74,0.5657
0.5,12987,239.23,0.5600
0.5,13320,241.56,0.5668
0.5,13653,257.75,0.5345
0.5,13986,248.57,0.5393
0.5,14319,242.15,0.5575
0.5,14652,245.72,0.5752
0.5,14985,247.42,0.5687
0.5,15318,241.14,0.5675
0.5,15651,249.92,0.5360
0.5,15984,247.53,0.5440
0.5,16317,245.06,0.5648
0.5,16650,249.76,0.5256
0.5,16983,248.93,0.5497
0.5,17316,252.20,0.5424
0.5,17649,252.73,0.5436
