t,contagio,hospital,coste,work,school,ptrans,conf
132,0.3656,0.5104,10.0,2,2,2,2
133,0.3206,0.4925,0.0,0,0,0,0
134,0.3600,0.4991,10.0,2,2,2,2
135,0.3239,0.5051,0.0,0,0,0,0
136,0.3619,0.5131,10.0,2,2,2,2
137,0.3261,0.5179,0.0,0,0,0,0
138,0.3590,0.5268,10.0,2,2,2,2
139,0.3272,0.5230,0.0,0,0,0,0
140,0.3616,0.5353,10.0,2,2,2,2
141,0.3289,0.5188,0.0,0,0,0,0
142,0.3703,0.5170,10.0,2,2,2,2
143,0.3452,0.5118,0.0,0,0,0,0
144,0.3777,0.5278,10.0,2,2,2,2
145,0.3212,0.5161,0.0,0,0,0,0
146,0.3567,0.5223,10.0,2,2,2,2
147,0.3140,0.5238,0.0,0,0,0,0
148,0.3663,0.5077,10.0,2,2,2,2
149,0.3275,0.5108,0.0,0,0,0,0
150,0.3805,0.5421,10.0,2,2,2,2
151,0.3377,0.5472,0.0,0,0,0,0
152,0.3697,0.5550,10.0,2,2,2,2
153,0.3251,0.5465,0.0,0,0,0,0
154,0.3648,0.5283,10.0,2,2,2,2
155,0.3338,0.5045,0.0,0,0,0,0
156,0.3860,0.5163,10.0,2,2,2,2
157,0.3534,0.5301,8.0,2,2,2,1
158,0.3341,0.5391,2.0,1,1,0,0
159,0.3390,0.5262,0.0,0,0,0,0
