episodio,retorno_medio,retorno_ic95_lo,retorno_ic95_hi,td_medio,td_ic95_lo,td_ic95_hi
96,90.0094,81.8285,98.1904,0.764488,0.735397,0.793579
97,95.8522,86.4364,105.2681,0.785798,0.755068,0.816528
98,91.8678,83.8455,99.8901,0.763153,0.735551,0.790756
99,92.9853,84.6101,101.3605,0.765970,0.736345,0.795596
100,98.3495,88.8967,107.8023,0.761410,0.736404,0.786417
101,92.9447,84.7854,101.1039,0.751231,0.723740,0.778722
102,93.9370,84.9353,102.9387,0.740284,0.712542,0.768026
103,99.5253,91.0892,107.9614,0.749365,0.724875,0.773856
104,88.0204,79.0461,96.9947,0.775721,0.747911,0.803532
105,94.2993,87.1316,101.4670,0.756082,0.727612,0.784551
106,96.8243,88.8297,104.8190,0.771567,0.745519,0.797615
107,96.2927,88.4166,104.1688,0.767402,0.743389,0.791416
108,95.2373,86.3789,104.0958,0.779257,0.750147,0.808367
109,93.1126,84.3368,101.8884,0.780066,0.753032,0.807101
110,94.7418,86.6722,102.8114,0.761326,0.737314,0.785339
111,98.2923,88.6322,107.9524,0.745205,0.719565,0.770845
112,93.6593,85.1878,102.1307,0.756657,0.733649,0.779665
113,94.5030,85.5337,103.4723,0.760639,0.729062,0.792216
114,97.6022,88.4439,106.7605,0.769020,0.741573,0.796468
115,90.7204,83.2189,98.2219,0.794448,0.766976,0.821920
116,98.4561,91.5656,105.3466,0.775608,0.747433,0.803783
117,97.4001,89.8460,104.9542,0.768919,0.739989,0.797848
118,101.1866,94.0310,108.3421,0.774906,0.744687,0.805126
119,98.9250,90.5039,107.3460,0.753704,0.727046,0.780362
120,97.4418,88.1281,106.7555,0.767316,0.742622,0.792011
121,91.9226,83.7950,100.0502,0.773132,0.746226,0.800038
122,96.4984,88.6772,104.3196,0.768625,0.739764,0.797486
123,102.7002,95.3567,110.0437,0.761896,0.736121,0.787670
124,90.4766,81.9042,99.0491,0.770317,0.748339,0.792295
125,95.5061,87.0682,103.9441,0.767793,0.744255,0.791332
126,101.0220,93.8748,108.1692,0.755287,0.731122,0.779452
127,95.5182,87.3059,103.7304,0.761273,0.732473,0.790073
128,99.3903,91.4860,107.2945,0.745367,0.719429,0.771305
129,96.6658,88.0892,105.2423,0.751326,0.723911,0.778740
130,92.7164,84.6976,100.7351,0.756491,0.729534,0.783448
131,95.0222,88.1695,101.8749,0.753781,0.728002,0.779559
132,94.5736,86.0576,103.0896,0.742973,0.714229,0.771716
133,99.1001,90.1667,108.0336,0.748954,0.724401,0.773507
134,100.4451,91.9802,108.9100,0.753381,0.724953,0.781809
135,98.8928,90.3475,107.4380,0.746554,0.721134,0.771974
136,95.7968,88.8438,102.7497,0.760124,0.731658,0.788590
137,97.4541,89.1644,105.7438,0.772114,0.746172,0.798057
138,99.5495,90.5619,108.5370,0.748566,0.721486,0.775647
139,97.7916,90.3408,105.2424,0.770962,0.744496,0.797427
140,102.8159,95.6174,110.0144,0.762912,0.740906,0.784918
141,102.5446,93.1400,111.9491,0.724696,0.699112,0.750281
142,100.8567,92.7084,109.0050,0.731682,0.707857,0.755507
143,102.6661,95.1888,110.1433,0.745773,0.718097,0.773449
144,96.5055,88.0835,104.9274,0.754440,0.725645,0.783235
145,100.2011,91.6867,108.7154,0.734473,0.707737,0.761209
146,97.2388,89.1402,105.3374,0.747206,0.723110,0.771302
147,96.0340,87.8015,104.2665,0.750475,0.719755,0.781195
148,98.4109,90.9651,105.8568,0.737686,0.709678,0.765694
149,98.4798,90.2295,106.7302,0.732912,0.707499,0.758324
150,97.4185,89.5470,105.2901,0.737604,0.710274,0.764934
151,97.5797,90.3895,104.7700,0.739782,0.711954,0.767610
152,96.6918,87.9937,105.3900,0.739999,0.714284,0.765715
153,101.5382,92.9352,110.1413,0.756041,0.728639,0.783444
154,100.0783,91.9665,108.1901,0.730726,0.704728,0.756725
155,102.9622,94.1261,111.7983,0.744494,0.718867,0.770122
156,101.8648,93.6374,110.0923,0.756350,0.728532,0.784168
157,93.7665,87.0980,100.4349,0.727523,0.698670,0.756376
158,98.8989,91.1480,106.6498,0.744163,0.716844,0.771483
159,92.1859,84.1100,100.2618,0.767951,0.742898,0.793004
160,106.7062,99.5742,113.8382,0.734044,0.708523,0.759565
161,101.0810,93.9793,108.1827,0.738121,0.709219,0.767024
162,98.7227,92.2913,105.1541,0.746319,0.719635,0.773003
163,99.3956,91.1612,107.6300,0.749977,0.725364,0.774589
164,96.9410,88.4917,105.3902,0.744987,0.717606,0.772368
165,94.2987,86.6919,101.9055,0.762545,0.739035,0.786055
166,104.0806,95.7880,112.3731,0.746814,0.722556,0.771072
167,104.2936,98.4879,110.0993,0.769728,0.742094,0.797362
168,100.0947,92.6895,107.4999,0.721896,0.695492,0.748301
169,101.2454,93.1733,109.3175,0.744274,0.713836,0.774712
170,98.0570,90.1363,105.9777,0.734362,0.711337,0.757386
171,90.1998,81.1446,99.2551,0.739282,0.708962,0.769602
172,98.6262,91.9907,105.2616,0.744414,0.717130,0.771699
173,95.5738,85.8203,105.3273,0.752696,0.729710,0.775681
174,98.8852,90.5458,107.2245,0.735827,0.712883,0.758772
175,104.2214,97.2466,111.1962,0.749877,0.720211,0.779543
176,101.0926,93.4200,108.7652,0.746433,0.721594,0.771272
177,99.9046,91.5088,108.3004,0.747880,0.718174,0.777587
178,98.6696,91.5021,105.8372,0.757868,0.730687,0.785049
179,100.5322,92.1787,108.8857,0.742464,0.717222,0.767707
180,96.9955,90.1831,103.8078,0.728018,0.704699,0.751337
181,102.3542,95.0471,109.6612,0.749107,0.719142,0.779073
182,103.2223,95.3993,111.0452,0.728772,0.704878,0.752665
183,104.6094,96.5875,112.6313,0.733820,0.707061,0.760578
184,96.6344,88.3866,104.8822,0.715316,0.693698,0.736933
185,96.7190,89.2561,104.1818,0.728092,0.704096,0.752088
186,94.0789,86.0252,102.1327,0.736206,0.710530,0.761883
187,101.5939,93.5517,109.6362,0.730976,0.701909,0.760043
188,97.6403,90.4624,104.8182,0.731539,0.706151,0.756926
189,109.0391,102.0416,116.0366,0.749559,0.723543,0.775576
190,103.3059,96.6530,109.9589,0.724272,0.702922,0.745622
191,96.6733,90.6341,102.7126,0.735353,0.712545,0.758160
192,99.8377,93.4276,106.2479,0.753105,0.724740,0.781470
193,99.6437,92.8638,106.4237,0.740012,0.708335,0.771689
194,100.1890,93.7064,106.6717,0.745260,0.721026,0.769494
195,103.0124,94.1367,111.8881,0.738710,0.710817,0.766603
196,100.5185,93.2212,107.8158,0.738948,0.715729,0.762167
197,102.5506,95.1195,109.9816,0.731102,0.705779,0.756425
198,99.2072,91.0656,107.3488,0.737627,0.710804,0.764450
199,102.6144,94.9565,110.2722,0.733223,0.707562,0.758884
200,97.5553,91.0802,104.0305,0.747911,0.722053,0.773768
201,96.6234,89.5201,103.7267,0.740363,0.714498,0.766229
202,99.1877,92.0714,106.3040,0.725191,0.701058,0.749325
203,108.6784,102.1215,115.2352,0.725630,0.698178,0.753083
204,107.2161,100.0309,114.4014,0.735923,0.714149,0.757696
205,100.0060,92.3556,107.6564,0.732291,0.709607,0.754976
206,105.8966,99.0145,112.7788,0.719295,0.696737,0.741852
207,107.2678,99.1923,115.3433,0.729561,0.705790,0.753332
208,96.5479,88.8273,104.2685,0.739893,0.715092,0.764693
209,110.2610,104.3935,116.1284,0.710923,0.685385,0.736461
210,107.8753,101.3888,114.3618,0.735952,0.711844,0.760061
211,99.9066,92.0990,107.7142,0.730160,0.706035,0.754285
212,97.1665,89.1567,105.1762,0.749589,0.725027,0.774152
213,105.0913,98.3354,111.8472,0.739171,0.714505,0.763838
214,102.9167,96.0921,109.7413,0.723299,0.701952,0.744646
215,101.4849,93.5167,109.4532,0.728641,0.703193,0.754090
216,105.1176,97.9312,112.3039,0.743211,0.721259,0.765163
217,101.6106,93.2329,109.9882,0.748886,0.722835,0.774936
218,107.7045,99.2853,116.1237,0.715525,0.689931,0.741119
219,106.1695,98.7887,113.5502,0.737233,0.713485,0.760981
220,103.3302,95.1180,111.5425,0.731354,0.705422,0.757285
221,102.2458,95.4495,109.0422,0.752327,0.726439,0.778215
222,104.7851,96.9936,112.5767,0.740166,0.711916,0.768416
223,101.7857,94.1489,109.4225,0.734885,0.711710,0.758061
224,110.7446,104.0260,117.4632,0.724182,0.699310,0.749054
225,111.2287,104.5047,117.9526,0.725057,0.698814,0.751301
226,110.2270,102.7713,117.6827,0.730951,0.705223,0.756678
227,101.8191,95.1415,108.4966,0.746298,0.721398,0.771198
228,96.1561,88.6868,103.6254,0.741886,0.715083,0.768690
229,105.6306,97.3161,113.9451,0.746677,0.721476,0.771877
230,100.0029,92.6619,107.3438,0.748855,0.725280,0.772429
231,101.3060,94.4718,108.1402,0.743694,0.721444,0.765943
232,104.3770,96.6919,112.0622,0.714956,0.691062,0.738850
233,104.1325,96.9063,111.3587,0.737906,0.709142,0.766669
234,100.7255,92.7747,108.6763,0.742197,0.718884,0.765510
235,111.1002,103.0045,119.1960,0.725758,0.699543,0.751974
236,105.6291,97.0867,114.1715,0.736513,0.716254,0.756771
237,102.3864,95.8354,108.9373,0.731287,0.707624,0.754950
238,101.2831,92.9589,109.6073,0.731740,0.708121,0.755358
239,100.8736,93.9026,107.8445,0.743337,0.714057,0.772618
240,111.4520,103.0234,119.8807,0.731528,0.705880,0.757175
241,105.1962,98.2930,112.0993,0.741589,0.718833,0.764344
242,99.4430,92.4160,106.4700,0.740005,0.712601,0.767410
243,103.3748,96.9304,109.8192,0.719449,0.692714,0.746184
244,106.4067,97.8847,114.9286,0.739887,0.715676,0.764099
245,101.5639,92.8743,110.2536,0.749051,0.722825,0.775277
246,106.6758,99.8999,113.4517,0.722268,0.699858,0.744678
247,96.8752,89.2405,104.5100,0.735368,0.712750,0.757986
248,111.8141,104.1106,119.5177,0.730862,0.706003,0.755720
249,103.5506,96.8625,110.2388,0.737996,0.713305,0.762688
250,105.4648,97.8944,113.0351,0.739193,0.715158,0.763228
251,106.3907,99.2467,113.5347,0.728449,0.704307,0.752591
252,107.5926,99.7581,115.4271,0.728418,0.706701,0.750134
253,107.2545,97.9354,116.5737,0.738345,0.711629,0.765061
254,105.8311,98.1983,113.4639,0.730171,0.704258,0.756085
255,102.1187,95.0138,109.2237,0.730780,0.707049,0.754511
256,104.2525,98.1416,110.3633,0.728529,0.708810,0.748249
257,106.6719,98.0812,115.2627,0.742307,0.716550,0.768064
258,102.6265,95.6992,109.5537,0.733991,0.708797,0.759185
259,103.9138,97.0235,110.8041,0.732556,0.704758,0.760355
260,105.5397,98.5985,112.4808,0.747426,0.726504,0.768348
261,103.4036,94.8694,111.9379,0.740184,0.714145,0.766223
262,101.7615,94.4268,109.0962,0.734214,0.711352,0.757075
263,104.4706,97.9484,110.9928,0.727630,0.702032,0.753229
264,109.9097,101.4614,118.3580,0.725573,0.700305,0.750842
265,115.4223,107.4727,123.3718,0.740050,0.712843,0.767257
266,105.6379,98.4041,112.8718,0.734753,0.711440,0.758067
267,108.3953,100.5502,116.2405,0.745813,0.721504,0.770122
268,108.7364,101.2436,116.2293,0.745507,0.719701,0.771313
269,105.1332,98.0090,112.2574,0.729333,0.701497,0.757169
270,107.9235,100.8552,114.9917,0.745325,0.717306,0.773344
271,102.0246,94.4421,109.6071,0.723797,0.699305,0.748290
272,107.5607,100.6654,114.4559,0.737444,0.709828,0.765060
273,107.3122,99.7836,114.8407,0.725109,0.699330,0.750888
274,102.6105,94.0008,111.2201,0.746008,0.714087,0.777930
275,109.8877,102.4804,117.2951,0.727506,0.701217,0.753795
276,106.8990,100.2544,113.5436,0.714462,0.689039,0.739884
277,102.0518,93.4501,110.6535,0.724564,0.695433,0.753695
278,108.2123,100.8563,115.5683,0.738069,0.712211,0.763926
279,105.9272,98.8978,112.9565,0.750792,0.722270,0.779315
280,109.8918,101.4807,118.3029,0.727590,0.700744,0.754435
281,106.0513,99.5159,112.5867,0.745878,0.721437,0.770318
282,102.2864,95.3712,109.2015,0.752820,0.722086,0.783554
283,109.1778,101.4265,116.9291,0.730293,0.708680,0.751905
284,101.6661,93.1214,110.2109,0.726796,0.700453,0.753139
285,112.3710,103.9610,120.7810,0.721701,0.700502,0.742899
286,105.5112,97.4838,113.5386,0.736320,0.709740,0.762900
287,110.3024,102.7617,117.8431,0.733388,0.710644,0.756132
288,111.1071,103.8386,118.3756,0.754754,0.729396,0.780112
289,106.1087,98.5402,113.6773,0.740643,0.716281,0.765004
290,106.2479,97.6810,114.8149,0.731345,0.705202,0.757488
291,109.4605,100.6626,118.2584,0.729927,0.705925,0.753929
292,108.5480,101.0282,116.0677,0.735553,0.711635,0.759471
293,113.3328,105.9391,120.7266,0.743521,0.720388,0.766655
